SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Label,Sex,Species ID Method,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s1_4,s1_4,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High bench, spruce",HR-BA-BS,447378,6353650,10,"Site destroyed, ribbon ripped down",11,0000,1998-07-13,D.  Fear,M-URAR,R,,1,HA,5813_e,F,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s1_4,s1_4,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High bench, spruce",HR-BA-BS,447378,6353650,10,"Site destroyed, ribbon ripped down",11,0000,1998-07-13,D.  Fear,MAMMALIA,,,1,HA,5813_d,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s1_4,s1_4,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High bench, spruce",HR-BA-BS,447378,6353650,10,"Site destroyed, ribbon ripped down",11,0000,1998-07-13,D.  Fear,M-URAR,AN,,1,HA,5813_a,F,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s1_4,s1_4,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High bench, spruce",HR-BA-BS,447378,6353650,10,"Site destroyed, ribbon ripped down",11,0000,1998-07-13,D.  Fear,M-URAR,AN,,1,HA,5813_b,F,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s1_4,s1_4,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High bench, spruce",HR-BA-BS,447378,6353650,10,"Site destroyed, ribbon ripped down",11,0000,1998-07-13,D.  Fear,M-URAR,,,1,HA,5813_c,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,BP,,1,HA,5871_b,M,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,,,1,HA,5871_l,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,BP,,1,HA,5871_h,M,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,BP,,1,HA,5871_k,M,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,BP,,1,HA,5871_m,M,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,CL,,1,HA,5871_j,M,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,CL,,1,HA,5871_i,M,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,BP,,1,HA,5871_f,M,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,,,1,HA,5871_e,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,BP,,1,HA,5871_c,M,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,CW,,1,HA,5871_a,F,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,CW,,1,HA,5871_d,F,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s1_5,s1_5,SAMPLE STATION,1,"Ecoprovince NB;    Ecoregion NR;    Site description = High basin, subalpine fir",HR-BA-BS,445947,6350088,10,"Site demolished, ribbon ripped down",14,0000,1998-07-27,D.  Fear,M-URAR,,,1,HA,5871_g,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s10_1,s10_1,SAMPLE STATION,10,Ecoprovince TA;    Ecoregion MU;    Site description = Riparian,HR-BA-BS,496924,6360042,10,,12,0000,1998-06-06,D.  Fear,NULL,,,0,,,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s10_2,s10_2,SAMPLE STATION,10,Ecoprovince TA;    Ecoregion MU;    Site description = Cut line junctions,HR-BA-BS,500212,6359007,10,No action,12,0000,1998-06-18,A.  Walker,NULL,,,0,,,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-30,Session 3,,s10_3,s10_3,SAMPLE STATION,10,"Ecoprovince TA;    Ecoregion MU;    Site description = Rd cut line X-ing, griz track",HR-BA-BS,496215,6356616,10,,11,0000,1998-06-30,A.  Walker,MAMMALIA,,Hair found on rub tree at site,1,HA,5435_a,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s10_4,s10_4,SAMPLE STATION,10,"Ecoprovince TA;    Ecoregion MU;    Site description = Rd pipeline X-ing, scat",HR-BA-BS,503807,6353908,10,,12,0000,1998-07-12,A.  Walker,MAMMALIA,,Genetic species test failed because there was insufficient DNA or the sample was not from a bear or wolf.,1,HA,5447_a,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s10_4,s10_4,SAMPLE STATION,10,"Ecoprovince TA;    Ecoregion MU;    Site description = Rd pipeline X-ing, scat",HR-BA-BS,503807,6353908,10,,12,0000,1998-07-12,A.  Walker,M-URAM,,,1,HA,5447_b,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s10_4,s10_4,SAMPLE STATION,10,"Ecoprovince TA;    Ecoregion MU;    Site description = Rd pipeline X-ing, scat",HR-BA-BS,503807,6353908,10,,12,0000,1998-07-12,A.  Walker,MAMMALIA,,,1,HA,5447_c,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s10_4,s10_4,SAMPLE STATION,10,"Ecoprovince TA;    Ecoregion MU;    Site description = Rd pipeline X-ing, scat",HR-BA-BS,503807,6353908,10,,12,0000,1998-07-12,A.  Walker,MAMMALIA,,,1,HA,5447_d,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s10_5,s10_5,SAMPLE STATION,10,"Ecoprovince TA;    Ecoregion MU;    Site description = Hill, pipeline cutline X-ing",HR-BA-BS,499222,6351154,10,Site destroyed,14,0000,1998-07-26,D.  Fear,MAMMALIA,,Genetic species test failed because there was insufficient DNA or the sample was not from a bear or wolf.,1,HA,5962_a,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s10_5,s10_5,SAMPLE STATION,10,"Ecoprovince TA;    Ecoregion MU;    Site description = Hill, pipeline cutline X-ing",HR-BA-BS,499222,6351154,10,Site destroyed,14,0000,1998-07-26,D.  Fear,M-URAM,,,1,HA,5962_d,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s10_5,s10_5,SAMPLE STATION,10,"Ecoprovince TA;    Ecoregion MU;    Site description = Hill, pipeline cutline X-ing",HR-BA-BS,499222,6351154,10,Site destroyed,14,0000,1998-07-26,D.  Fear,M-URAM,,,1,HA,5962_b,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s10_5,s10_5,SAMPLE STATION,10,"Ecoprovince TA;    Ecoregion MU;    Site description = Hill, pipeline cutline X-ing",HR-BA-BS,499222,6351154,10,Site destroyed,14,0000,1998-07-26,D.  Fear,M-URAM,,,1,HA,5962_c,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s100_1,s100_1,SAMPLE STATION,100,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, aspen, alder",HR-BA-BS,553733,6423362,10,Site destroyed,11,0000,1998-06-09,D.  Fear,M-URAM,,,1,HA,5615_f,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s100_1,s100_1,SAMPLE STATION,100,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, aspen, alder",HR-BA-BS,553733,6423362,10,Site destroyed,11,0000,1998-06-09,D.  Fear,M-URAM,,,1,HA,5615_g,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s100_1,s100_1,SAMPLE STATION,100,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, aspen, alder",HR-BA-BS,553733,6423362,10,Site destroyed,11,0000,1998-06-09,D.  Fear,M-URAM,,,1,HA,5615_e,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s100_1,s100_1,SAMPLE STATION,100,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, aspen, alder",HR-BA-BS,553733,6423362,10,Site destroyed,11,0000,1998-06-09,D.  Fear,M-URAM,,,1,HA,5615_c,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s100_1,s100_1,SAMPLE STATION,100,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, aspen, alder",HR-BA-BS,553733,6423362,10,Site destroyed,11,0000,1998-06-09,D.  Fear,M-URAM,,,1,HA,5615_b,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s100_1,s100_1,SAMPLE STATION,100,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, aspen, alder",HR-BA-BS,553733,6423362,10,Site destroyed,11,0000,1998-06-09,D.  Fear,M-URAM,,,1,HA,5615_a,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s101_1,s101_1,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Ridge, griz track, rub post",HR-BA-BS,492461,6431270,10,Large grizzly tracks on cut line,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5643_h,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s101_1,s101_1,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Ridge, griz track, rub post",HR-BA-BS,492461,6431270,10,Large grizzly tracks on cut line,12,0000,1998-06-13,D.  Fear,MAMMALIA,,Genetic species test failed because there was insufficient DNA or the sample was not from a bear or wolf.,1,HA,5643_f,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s101_1,s101_1,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Ridge, griz track, rub post",HR-BA-BS,492461,6431270,10,Large grizzly tracks on cut line,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5643_e,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s101_1,s101_1,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Ridge, griz track, rub post",HR-BA-BS,492461,6431270,10,Large grizzly tracks on cut line,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5643_d,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s101_1,s101_1,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Ridge, griz track, rub post",HR-BA-BS,492461,6431270,10,Large grizzly tracks on cut line,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5643_b,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s101_1,s101_1,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Ridge, griz track, rub post",HR-BA-BS,492461,6431270,10,Large grizzly tracks on cut line,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5643_c,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s101_2,s101_2,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Spruce, brushy, griz track",HR-BA-BS,494442,6432862,10,,13,0000,1998-06-26,D.  Fear,M-URAM,,,1,HA,5691_h,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s101_2,s101_2,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Spruce, brushy, griz track",HR-BA-BS,494442,6432862,10,,13,0000,1998-06-26,D.  Fear,M-URAM,,,1,HA,5691_k,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s101_2,s101_2,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Spruce, brushy, griz track",HR-BA-BS,494442,6432862,10,,13,0000,1998-06-26,D.  Fear,M-URAM,,,1,HA,5691_i,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s101_2,s101_2,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Spruce, brushy, griz track",HR-BA-BS,494442,6432862,10,,13,0000,1998-06-26,D.  Fear,M-URAM,,,1,HA,5691_g,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s101_5,s101_5,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Burnt ridge, mature pine",HR-BA-BS,487603,6431181,10,Site pulled apart,10,0000,1998-07-31,D.  Fear,M-URAM,,,1,HA,5976_a,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s101_5,s101_5,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Burnt ridge, mature pine",HR-BA-BS,487603,6431181,10,Site pulled apart,10,0000,1998-07-31,D.  Fear,M-URAM,,,1,HA,5976_e,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-26,Session 5,,s101_5,s101_5,SAMPLE STATION,101,"Ecoprovince TA;    Ecoregion MU;    Site description = Burnt ridge, mature pine",HR-BA-BS,487603,6431181,10,Site pulled apart,10,0000,1998-07-31,D.  Fear,M-URAM,,,1,HA,5976_b,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s102_1,s102_1,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, beaver ponds",HR-BA-BS,502093,6430200,10,,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5642_e,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s102_1,s102_1,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, beaver ponds",HR-BA-BS,502093,6430200,10,,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5642_I,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s102_1,s102_1,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, beaver ponds",HR-BA-BS,502093,6430200,10,,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5642_h,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s102_1,s102_1,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, beaver ponds",HR-BA-BS,502093,6430200,10,,12,0000,1998-06-13,D.  Fear,MAMMALIA,,,1,HA,5642_f,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s102_1,s102_1,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, beaver ponds",HR-BA-BS,502093,6430200,10,,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5642_d,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s102_1,s102_1,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, beaver ponds",HR-BA-BS,502093,6430200,10,,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5642_c,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-06,Session 1,,s102_1,s102_1,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Riparian, beaver ponds",HR-BA-BS,502093,6430200,10,,12,0000,1998-06-13,D.  Fear,M-URAM,,,1,HA,5642_b,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s102_2,s102_2,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Pass, aspen, major trails",HR-BA-BS,501379,6435389,10,,13,0000,1998-06-26,D.  Fear,M-URAM,,,1,HA,5690_d,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s102_2,s102_2,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Pass, aspen, major trails",HR-BA-BS,501379,6435389,10,,13,0000,1998-06-26,D.  Fear,M-URAM,,,1,HA,5690_c,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s102_2,s102_2,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Pass, aspen, major trails",HR-BA-BS,501379,6435389,10,,13,0000,1998-06-26,D.  Fear,M-URAM,,,1,HA,5690_b,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s102_2,s102_2,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Pass, aspen, major trails",HR-BA-BS,501379,6435389,10,,13,0000,1998-06-26,D.  Fear,M-URAM,,,1,HA,5690_a,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s102_2,s102_2,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Pass, aspen, major trails",HR-BA-BS,501379,6435389,10,,13,0000,1998-06-26,D.  Fear,M-URAM,,,1,HA,5690_i,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-18,Session 2,,s102_2,s102_2,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Pass, aspen, major trails",HR-BA-BS,501379,6435389,10,,13,0000,1998-06-26,D.  Fear,M-URAM,,,1,HA,5690_j,,DNA,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-06-30,Session 3,,s102_3,s102_3,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Pass, spruce pine mix",HR-BA-BS,496233,6439697,10,No action,10,0000,1998-07-06,D.  Fear,NULL,,,0,,,,,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s102_4,s102_4,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Spruce pine alder, cranberry",HR-BA-BS,498585,6430394,10,Moss pulled off mound,15,0000,1998-07-21,D.  Fear,M-URAM,,,1,HA,5862_d,,VI,,,,,,,
1998 - Grizzly Bear - DNA-based Inventory - Prophet River,Prophet River,1998-07-12,Session 4,,s102_4,s102_4,SAMPLE STATION,102,"Ecoprovince TA;    Ecoregion MU;    Site description = Spruce pine alder, cranberry",HR-BA-BS,498585,6430394,10,Moss pulled off mound,15,0000,1998-07-21,D.  Fear,M-URAM,,,1,HA,5862_e,,DNA,,,,,,,
