SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,Watershed Code,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Micro-location,Sample Label,Sample Group Label,Barb Number,Species Guess,Sex,Species ID Method
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0139,s0139,SAMPLE STATION,7,Method of Access (most limiting):Truck___On Surface Type:Road---------,HR-BA-BS,378667,5547221,11,West Kettle,Attractant: Castor ---------,14,0000,2015-07-20,Jesse  Vissia,NULL,,,0,,,,,,,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0139,s0139,SAMPLE STATION,7,Method of Access (most limiting):Truck___On Surface Type:Road---------,HR-BA-BS,378667,5547221,11,West Kettle,Attractant: Long Distance Call ---------,14,0000,2015-08-03,Autumn  Solomon,NULL,,,0,,,,,,,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0139,s0139,SAMPLE STATION,7,Method of Access (most limiting):Truck___On Surface Type:Road---------,HR-BA-BS,378667,5547221,11,West Kettle,Attractant: Anise oil ---------,15,0000,2015-08-18,Autumn  Solomon,MAMMALIA,,,1,HA,N,W,GK15-83,B,1,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0139,s0139,SAMPLE STATION,7,Method of Access (most limiting):Truck___On Surface Type:Road---------,HR-BA-BS,378667,5547221,11,West Kettle,Attractant: Anise oil ---------,15,0000,2015-08-18,Autumn  Solomon,M-URAM,,,1,HA,N,W,GK15-1422,A,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Castor ---------,14,0000,2015-07-21,Aaron  Reid,NULL,,,0,,,,,,,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Long Distance Call ---------,12,0000,2015-08-02,Clayton  Lamb,MAMMALIA,,,1,HA,N,W,GK15-1248,A,1,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Long Distance Call ---------,12,0000,2015-08-02,Clayton  Lamb,M-URAR,GK15-1818,,1,HA,N,W,GK15-1172,A,2,,M,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Long Distance Call ---------,12,0000,2015-08-02,Clayton  Lamb,M-URAR,GK15-1818,,1,HA,N,R,GK15-1174,B,1,,M,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Banana concentrate ---------,15,0000,2015-08-17,Aaron  Reid,MAMMALIA,,,1,HA,N,W,GK15-62,A,3,URAR,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Banana concentrate ---------,15,0000,2015-08-17,Aaron  Reid,MAMMALIA,,,1,HA,N,W,GK15-63,A,2,URAR,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Banana concentrate ---------,15,0000,2015-08-17,Aaron  Reid,M-URAR,GK15-65,,1,HA,N,W,GK15-741,D,1,,M,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Banana concentrate ---------,15,0000,2015-08-17,Aaron  Reid,M-URAR,GK15-65,,1,HA,N,W,GK15-60,F,1,URAR,M,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Banana concentrate ---------,15,0000,2015-08-17,Aaron  Reid,M-URAR,GK15-65,,1,HA,N,W,GK15-743,B,1,URAR,M,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Banana concentrate ---------,15,0000,2015-08-17,Aaron  Reid,MAMMALIA,,,1,HA,N,W,GK15-61,E,1,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Banana concentrate ---------,15,0000,2015-08-17,Aaron  Reid,M-URAR,GK15-65,,1,HA,N,W,GK15-65,A,1,URAR,M,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Banana concentrate ---------,15,0000,2015-08-17,Aaron  Reid,M-URAR,GK15-65,,1,HA,N,W,GK15-740,G,1,,M,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0140,s0140,SAMPLE STATION,38,Method of Access (most limiting):Foot ___On Surface Type:Bushwhack---------Small amount of Flagging only at site use ipad to navigate. Site is on a bench about 30 min hike in. Maybe half way between the truck and ridge.,HR-BA-BS,361892,5513221,11,Big White,Attractant: Banana concentrate ---------,15,0000,2015-08-17,Aaron  Reid,M-URAR,GK15-65,,1,HA,N,W,GK15-742,C,1,,M,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0141,s0141,SAMPLE STATION,26,Method of Access (most limiting):Helicopter ___On Surface Type:Helicopter---------,HR-BA-BS,401011,5522487,11,Scaia South,Attractant: Long distance call ---------,14,0000,2015-08-04,Aaron  Reid,M-URAM,,,1,HA,N,W,GK15-1319,B,1,,,VI
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0141,s0141,SAMPLE STATION,26,Method of Access (most limiting):Helicopter ___On Surface Type:Helicopter---------,HR-BA-BS,401011,5522487,11,Scaia South,Attractant: Long distance call ---------,14,0000,2015-08-04,Aaron  Reid,M-URAM,,,1,HA,N,W,GK15-1323,A,2,,,VI
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0141,s0141,SAMPLE STATION,26,Method of Access (most limiting):Helicopter ___On Surface Type:Helicopter---------,HR-BA-BS,401011,5522487,11,Scaia South,Attractant: Long distance call ---------,14,0000,2015-08-04,Aaron  Reid,M-URAM,,,1,HA,N,W,GK15-1317,A,1,,,VI
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0141,s0141,SAMPLE STATION,26,Method of Access (most limiting):Helicopter ___On Surface Type:Helicopter---------,HR-BA-BS,401011,5522487,11,Scaia South,Attractant: Anise oil ---------,14,0000,2015-08-18,Clayton  Lamb,MAMMALIA,,,1,HA,N,W,GK15-1556,A,3,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0141,s0141,SAMPLE STATION,26,Method of Access (most limiting):Helicopter ___On Surface Type:Helicopter---------,HR-BA-BS,401011,5522487,11,Scaia South,Attractant: Anise oil ---------,14,0000,2015-08-18,Clayton  Lamb,M-URAM,,,1,HA,N,W,GK15-1557,B,1,,,VI
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0141,s0141,SAMPLE STATION,26,Method of Access (most limiting):Helicopter ___On Surface Type:Helicopter---------,HR-BA-BS,401011,5522487,11,Scaia South,Attractant: Anise oil ---------,14,0000,2015-08-18,Clayton  Lamb,MAMMALIA,,,1,HA,N,W,GK15-1554,A,1,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0141,s0141,SAMPLE STATION,26,Method of Access (most limiting):Helicopter ___On Surface Type:Helicopter---------,HR-BA-BS,401011,5522487,11,Scaia South,Attractant: Anise oil ---------,14,0000,2015-08-18,Clayton  Lamb,M-URAM,,,1,HA,N,W,GK15-1555,A,2,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-06-29,2015 Session 1,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant:  ---------,14,0000,2015-07-01,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-287,A,1,,,VI
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Castor ---------,14,0000,2015-07-15,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-657,F,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Castor ---------,14,0000,2015-07-15,Laura  Smit,MAMMALIA,,,1,HA,N,W,GK15-676,B,1,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Castor ---------,14,0000,2015-07-15,Laura  Smit,MAMMALIA,,,1,HA,N,W,GK15-673,C,3,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Castor ---------,14,0000,2015-07-15,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-656,A,1,,,VI
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Castor ---------,14,0000,2015-07-15,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-674,E,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Castor ---------,14,0000,2015-07-15,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-675,D,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Castor ---------,14,0000,2015-07-15,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-672,C,2,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-13,2015 Session 2,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Castor ---------,14,0000,2015-07-15,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-671,C,1,,,VI
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Long Distance Call ---------,14,0000,2015-07-29,Clayton  Lamb,M-URAM,,,1,HA,N,W,GK15-1928,A,3,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Long Distance Call ---------,14,0000,2015-07-29,Clayton  Lamb,M-URAM,,,1,HA,N,W,GK15-1926,B,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Long Distance Call ---------,14,0000,2015-07-29,Clayton  Lamb,MAMMALIA,,,1,HA,N,W,GK15-1930,A,1,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Long Distance Call ---------,14,0000,2015-07-29,Clayton  Lamb,M-URAM,,,1,HA,N,W,GK15-708,E,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Long Distance Call ---------,14,0000,2015-07-29,Clayton  Lamb,MAMMALIA,,,1,HA,N,W,GK15-1929,A,2,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Long Distance Call ---------,14,0000,2015-07-29,Clayton  Lamb,MAMMALIA,,,1,HA,N,W,GK15-717,F,1,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Long Distance Call ---------,14,0000,2015-07-29,Clayton  Lamb,M-URAM,,,1,HA,N,W,GK15-1927,C,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-07-27,2015 Session 3,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Long Distance Call ---------,14,0000,2015-07-29,Clayton  Lamb,M-URAM,,,1,HA,N,W,GK15-1887,D,1,,,VI
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Anise oil ---------,15,0000,2015-08-13,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-1355,A,2,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Anise oil ---------,15,0000,2015-08-13,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-1356,B,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-08-11,2015 Session 4,s0200,s0200,SAMPLE STATION,94,Method of Access (most limiting):Truck___On Surface Type:Road---------Park at first cross ditch and walk up the road and to the left.,HR-BA-BS,447781,5461889,11,Merry Creek,Attractant: Anise oil ---------,15,0000,2015-08-13,Laura  Smit,MAMMALIA,,,1,HA,N,W,GK15-1354,A,1,,,
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-06-29,2015 Session 1,s0201,s0201,SAMPLE STATION,93,Method of Access (most limiting):Truck___On Surface Type:Road---------,HR-BA-BS,441034,5456393,11,Mackie FSR,Attractant:  ---------,14,0000,2015-07-01,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-282,D,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-06-29,2015 Session 1,s0201,s0201,SAMPLE STATION,93,Method of Access (most limiting):Truck___On Surface Type:Road---------,HR-BA-BS,441034,5456393,11,Mackie FSR,Attractant:  ---------,14,0000,2015-07-01,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-286,C,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-06-29,2015 Session 1,s0201,s0201,SAMPLE STATION,93,Method of Access (most limiting):Truck___On Surface Type:Road---------,HR-BA-BS,441034,5456393,11,Mackie FSR,Attractant:  ---------,14,0000,2015-07-01,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-283,A,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-06-29,2015 Session 1,s0201,s0201,SAMPLE STATION,93,Method of Access (most limiting):Truck___On Surface Type:Road---------,HR-BA-BS,441034,5456393,11,Mackie FSR,Attractant:  ---------,14,0000,2015-07-01,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-285,E,1,,,DNA
2015 - Grizzly Bear - DNA-based Inventory - Kettle-Granby,Kettle-Granby Grizzly Bear Population Unit,2015-06-29,2015 Session 1,s0201,s0201,SAMPLE STATION,93,Method of Access (most limiting):Truck___On Surface Type:Road---------,HR-BA-BS,441034,5456393,11,Mackie FSR,Attractant:  ---------,14,0000,2015-07-01,Laura  Smit,M-URAM,,,1,HA,N,W,GK15-284,B,1,,,DNA
