SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Label,Species Guess,Sex,Species ID Method,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,MAMMALIA,,,1,HA,N,922-i,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,M-URAM,,,1,HA,N,922-k,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,MAMMALIA,,,1,HA,N,922-l,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,M-URAM,,,1,HA,N,922-m,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-09,CS1996 Session 2,1_2,1_2,SAMPLE STATION,1,,HR-BA-BS,445050,5469750,11,,10,0000,1996-07-09,D.  Fear,MAMMALIA,,,1,HA,N,922-n,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-19,CS1996 Session 3,1_3,1_3,SAMPLE STATION,1,,HR-BA-BS,439501,5468986,11,,10,0000,1996-07-19,D.  Fear,NULL,,,0,,,,,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,1_4,1_4,SAMPLE STATION,1,,HR-BA-BS,442250,5469800,11,,10,0000,1996-07-29,D.  Fear,NULL,,,0,,,,,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,MAMMALIA,,,1,HA,N,2044-p,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,MAMMALIA,,,1,HA,N,2044-r,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-s,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,MAMMALIA,,,1,HA,N,2044-t,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-u,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-v,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-w,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,MAMMALIA,,,1,HA,N,2044-l,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-x,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-y,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-o,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,MAMMALIA,,,1,HA,N,2044-n,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,MAMMALIA,,,1,HA,N,2044-e,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-a,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-b,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-k,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,MAMMALIA,,,1,HA,N,2044-c,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,MAMMALIA,,,1,HA,N,2044-j,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-d,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-i,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,MAMMALIA,,,1,HA,N,2044-h,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,M-URAM,,,1,HA,N,2044-m,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,1_5,1_5,SAMPLE STATION,1,,HR-BA-BS,445650,5468325,11,,10,0000,1996-08-08,A.  Walker,MAMMALIA,,,1,HA,N,2044-g,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-19,CS1996 Session 3,11_3,11_3,SAMPLE STATION,11,,HR-BA-BS,426227,5496570,11,,10,0000,1996-07-23,D.  Fear,MAMMALIA,,"Only one small hair, species unknown (mDNA analysis failed).",1,HA,N,2001-a,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,11_4,11_4,SAMPLE STATION,11,,HR-BA-BS,427922,5498806,11,,9,0000,1996-08-01,D.  Fear,NULL,,,0,,,,,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,M-URAM,,,1,HA,N,2156-k,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,M-URAM,,,1,HA,N,2156-c,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,M-URAM,,,1,HA,N,2156-l,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,M-URAM,,,1,HA,N,2156-a,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,MAMMALIA,,,1,HA,N,2156-i,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,M-URAM,,,1,HA,N,2156-h,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,M-URAM,,,1,HA,N,2156-g,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,M-URAM,,,1,HA,N,2156-f,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,M-URAM,,,1,HA,N,2156-d,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,MAMMALIA,,,1,HA,N,2156-b,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,M-URAM,,,1,HA,N,2156-j,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-08-08,CS1996 Session 5,11_5,11_5,SAMPLE STATION,11,,HR-BA-BS,425855,5499627,11,,9,0000,1996-08-10,G.  Mowat,M-URAM,,,1,HA,N,2156-e,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-06-29,CS1996 Session 1,12_1,12_1,SAMPLE STATION,12,,HR-BA-BS,440200,5494350,11,,9,0000,1996-06-30,A.  Walker,M-URAM,,,1,HA,N,902-s,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-06-29,CS1996 Session 1,12_1,12_1,SAMPLE STATION,12,,HR-BA-BS,440200,5494350,11,,9,0000,1996-06-30,A.  Walker,M-URAM,,,1,HA,N,902-t,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-06-29,CS1996 Session 1,12_1,12_1,SAMPLE STATION,12,,HR-BA-BS,440200,5494350,11,,9,0000,1996-06-30,A.  Walker,M-URAM,,,1,HA,N,902-u,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-06-29,CS1996 Session 1,12_1,12_1,SAMPLE STATION,12,,HR-BA-BS,440200,5494350,11,,9,0000,1996-06-30,A.  Walker,M-URAM,,,1,HA,N,902-v,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-06-29,CS1996 Session 1,12_1,12_1,SAMPLE STATION,12,,HR-BA-BS,440200,5494350,11,,9,0000,1996-06-30,A.  Walker,M-URAM,,,1,HA,N,902-x,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-06-29,CS1996 Session 1,12_1,12_1,SAMPLE STATION,12,,HR-BA-BS,440200,5494350,11,,9,0000,1996-06-30,A.  Walker,M-URAM,,,1,HA,N,902-z,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAM,,,1,HA,N,2119-v,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,,DONE X 2 ; Matches CK @ 4 of 6 loci but Total Sib Match > 0.05 ; Matches CG @ 3 of 6,1,HA,N,2119-ai,Unk,,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,MAMMALIA,,,1,HA,N,2119-ac,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,MAMMALIA,,,1,HA,N,2119-x,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAM,,,1,HA,N,2119-y,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAM,,,1,HA,N,2119-z,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAM,,,1,HA,N,2119-aa,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAM,,,1,HA,N,2119-ab,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAM,,,1,HA,N,2119-w,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,CL,DONE X 2,1,HA,N,2119-ad,M-URAR,F,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,,,1,HA,N,2119-ae,M-URAR,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,,,1,HA,N,2119-af,M-URAR,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAM,,,1,HA,N,2119-ah,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAM,,,1,HA,N,2119-aj,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,MAMMALIA,,,1,HA,N,2119-ak,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,CJ,,1,HA,N,2119-f,Unk,F,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,CK,DONE X 2,1,HA,N,2119-u,M-URAR,F,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,MAMMALIA,,,1,HA,N,2119-ag,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,CJ,DONE X 2,1,HA,N,2119-a,M-URAR,F,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,CK,DONE X 2,1,HA,N,2119-h,Unk,F,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,MAMMALIA,,,1,HA,N,2119-t,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,,,1,HA,N,2119-b,M-URAR,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,CR,,1,HA,N,2119-c,M-URAR,F,DNA,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAM,,,1,HA,N,2119-e,M-URAM,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,M-URAR,,,1,HA,N,2119-g,M-URAR,,VI,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,MAMMALIA,,,1,HA,N,2119-i,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,MAMMALIA,,,1,HA,N,2119-j,Unk,,,
1996 - Grizzly Bear - DNA-based Inventory - Central Selkirk Mountains,Central Selkirk Mountains,1996-07-29,CS1996 Session 4,44_4,44_4,SAMPLE STATION,44,,HR-BA-BS,455588,5543805,11,,10,0000,1996-07-31,K.  Robins,MAMMALIA,,,1,HA,N,2119-l,Unk,,,
