SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Micro-location,Sample Label,Sample Group Label,Barb Number,Sex,Species ID Method
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,15,0000,2004-09-05,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,1174,B,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,15,0000,2004-09-05,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,1175,B,2,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,15,0000,2004-09-05,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,1176,B,3,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,15,0000,2004-09-05,Not  Available,M-URAM,,Xblack,1,HA,N,W,1177,C,1,,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-09-07,2004 Session 4,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,12,0000,2004-09-17,Not  Available,MAMMALIA,,Xbomb,1,HA,N,P,2263,B,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-09-07,2004 Session 4,,1,1,SAMPLE STATION,1,,HR-BA-BS,679536,6359848,8,,12,0000,2004-09-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,2264,A,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-09-07,2004 Session 4,,10,10,SAMPLE STATION,3,,HR-BA-BS,344143,6356246,9,,12,0000,2004-09-17,Not  Available,NULL,,,0,,,,,,,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,100,100,SAMPLE STATION,20,,HR-BA-BS,354788,6316843,9,,12,0000,2004-08-20,Not  Available,MAMMALIA,,Xbomb,1,HA,N,W,1862,A,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,100,100,SAMPLE STATION,20,,HR-BA-BS,354788,6316843,9,,12,0000,2004-08-20,Not  Available,M-URAR,1863,sample,1,HA,N,G,1863,A,1,M,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,100,100,SAMPLE STATION,20,,HR-BA-BS,354788,6316843,9,,12,0000,2004-08-20,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,1864,K,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,100,100,SAMPLE STATION,20,,HR-BA-BS,354788,6316843,9,,12,0000,2004-08-20,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,1865,L,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,100,100,SAMPLE STATION,20,,HR-BA-BS,354788,6316843,9,,12,0000,2004-08-20,Not  Available,MAMMALIA,,Xcouldn’t check,1,HA,N,W,1866,M,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,101,101,SAMPLE STATION,20,,HR-BA-TR,344646,6319204,9,,16,0000,2004-09-04,Not  Available,NULL,,,0,,,,,,,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-09-07,2004 Session 4,,101,101,SAMPLE STATION,20,,HR-BA-TR,344646,6319204,9,,13,0000,2004-09-17,Not  Available,NULL,,,0,,,,,,,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-09-07,2004 Session 4,,102,102,SAMPLE STATION,20,,HR-BA-BS,351793,6321014,9,,13,0000,2004-09-17,Not  Available,NULL,,,0,,,,,,,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,350,A,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,M-URAR,0381,sample,1,HA,N,W,351,A,2,F,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,M-URAR,0352,sample,1,HA,N,W,352,B,1,F,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,353,B,2,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,354,B,3,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,M-URAR,0352,sample,1,HA,N,W,355,C,1,F,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,356,D,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,357,D,3,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,358,D,4,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,359,D,5,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,Xbomb,1,HA,N,G,360,D,5,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,361,D,6,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,362,D,6,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,363,D,7,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-01,2004 Session 1,,103,103,SAMPLE STATION,22,,HR-BA-BS,388586,6309665,9,,16,0000,2004-08-04,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,364,E,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,M-URAR,0755,sample,1,HA,N,W,746,B,2,M,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,747,B,3,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,748,B,4,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,749,B,5,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,750,B,6,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,751,B,6,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,Xmixed,1,HA,N,W,752,B,7,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,753,B,8,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,754,B,9,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,M-URAR,0755,sample,1,HA,N,W,755,B,10,M,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,756,C,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,M-URAR,0931,sample,1,HA,N,W,757,C,2,F,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,758,C,3,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,M-URAR,0744,sample,1,HA,N,W,759,K,1,M,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,760,K,2,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,761,K,2,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,762,K,3,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,763,K,3,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,Xbomb,1,HA,N,W,764,K,4,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,765,K,4,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,766,K,5,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,767,K,6,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,768,K,6,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,M-URAR,0755,sample,1,HA,N,W,769,K,7,M,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,770,K,7,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,771,K,8,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,772,K,9,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,773,K,9,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,774,K,10,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,M-URAR,0780,sample,1,HA,N,W,775,K,11,F,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,776,K,11,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,777,K,12,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,Xbomb,1,HA,N,W,778,L,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,779,M,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,110b,110b,SAMPLE STATION,23,,HR-BA-BS,400536,6315172,9,,12,0000,2004-08-17,Not  Available,M-URAR,0780,sample,1,HA,N,W,780,M,3,F,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,16,0000,2004-08-28,Not  Available,M-URAM,,Xblack,1,HA,N,W,1570,A,3,,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,16,0000,2004-08-28,Not  Available,MAMMALIA,,unextracted,1,HA,N,G,1571,A,3,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,16,0000,2004-08-28,Not  Available,MAMMALIA,,Xbomb,1,HA,N,W,1572,B,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,16,0000,2004-08-28,Not  Available,MAMMALIA,,Xbomb,1,HA,N,W,1573,C,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,16,0000,2004-08-28,Not  Available,MAMMALIA,,Xmixed,1,HA,N,W,1574,D,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,7,0000,2004-09-04,Not  Available,MAMMALIA,,Xbomb,1,HA,N,W,1433,A,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,7,0000,2004-09-04,Not  Available,M-URAM,,Xblack,1,HA,N,W,1434,B,1,,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,7,0000,2004-09-04,Not  Available,MAMMALIA,,Xbomb,1,HA,N,W,1435,C,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,7,0000,2004-09-04,Not  Available,M-URAR,2037,sample,1,HA,N,W,1436,D,1,M,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-09-07,2004 Session 4,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,12,0000,2004-09-16,Not  Available,M-URAM,,unextracted,1,HA,N,W,1992,A,1,,VI
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-09-07,2004 Session 4,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,12,0000,2004-09-16,Not  Available,MAMMALIA,,Xbomb,1,HA,N,W,1993,B,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-09-07,2004 Session 4,,177b,177b,SAMPLE STATION,34,,HR-BA-TR,366877,6283009,9,,12,0000,2004-09-16,Not  Available,MAMMALIA,,Xbomb,1,HA,N,W,1994,C,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,178,178,SAMPLE STATION,34,,HR-BA-TR,363281,6285776,9,,16,0000,2004-08-28,Not  Available,MAMMALIA,,Xbomb,1,HA,N,W,1482,B,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,178,178,SAMPLE STATION,34,,HR-BA-TR,363281,6285776,9,,16,0000,2004-08-28,Not  Available,M-URAM,,Xblack,1,HA,N,W,1483,C,3,,DNA
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,178,178,SAMPLE STATION,34,,HR-BA-TR,363281,6285776,9,,16,0000,2004-08-28,Not  Available,MAMMALIA,,unextracted,1,HA,N,W,1484,C,2,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-09,2004 Session 2,,178,178,SAMPLE STATION,34,,HR-BA-TR,363281,6285776,9,,16,0000,2004-08-28,Not  Available,MAMMALIA,,sptest,1,HA,N,W,1485,K,1,,
2004-2005 - Grizzly Bear - DNA-based Inventory - Lower Stikine River,Lower Stikine River,2004-08-29,2004 Session 3,,178,178,SAMPLE STATION,34,,HR-BA-TR,363281,6285776,9,,7,0000,2004-09-04,Not  Available,NULL,,,0,,,,,,,,
