SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,Latitude DC (DD),Longitude DC (DD),DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Label,Sex,Species ID Method
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1403,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1414,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1415,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1416,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1417,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1401,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1419,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1421,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1422,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1424,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1425,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1426,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1427,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1418,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,16,0,1998-09-09,Not  Available,MAMMALIA,,,1,HA,1423,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-09-22,Not  Available,MAMMALIA,,,1,HA,1259,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-09-22,Not  Available,MAMMALIA,,,1,HA,1258,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-09-22,Not  Available,MAMMALIA,,,1,HA,1260,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-09-22,Not  Available,MAMMALIA,,,1,HA,1251,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-09-22,Not  Available,MAMMALIA,,,1,HA,1252,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-09-22,Not  Available,MAMMALIA,,,1,HA,1253,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-09-22,Not  Available,MAMMALIA,,,1,HA,1254,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-09-22,Not  Available,MAMMALIA,,,1,HA,1255,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-09-22,Not  Available,MAMMALIA,,,1,HA,1256,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,13,0,1998-09-22,Not  Available,MAMMALIA,,Field comment: weasel,1,HA,1257,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-01,Nass 1999 - Session 1,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,7,0,1999-06-02,Not  Available,MAMMALIA,,,1,HA,1939,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-07,Nass 1999 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,6,0,1999-06-08,Not  Available,M-URAM,,Lab ID # BC-84-99,1,HA,2065,,DNA
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-07,Nass 1999 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,6,0,1999-06-08,Not  Available,M-URAM,,Lab ID # BC834,1,HA,2066,,DNA
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-07,Nass 1999 - Session 2,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,6,0,1999-06-08,Not  Available,M-URAM,,Lab ID # BC835,1,HA,2067,,DNA
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-14,Nass 1999 - Session 3,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,7,0,1999-06-15,Not  Available,NULL,,,0,,,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-22,Nass 1999 - Session 4,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,8,0,1999-06-23,Not  Available,NULL,,,0,,,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-28,Nass 1999 - Session 5,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,6,0,1999-06-29,Not  Available,NULL,,,0,,,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-07-05,Nass 1999 - Session 6,,10A,10A,SAMPLE STATION,10,56.05548,-129.1124,,HR-BA-BS,493000,6212260,9,,7,0,1999-07-06,Not  Available,NULL,,,0,,,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,13,0,1998-09-02,Not  Available,MAMMALIA,,,1,HA,1156,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,13,0,1998-09-02,Not  Available,MAMMALIA,,,1,HA,1157,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,13,0,1998-09-02,Not  Available,MAMMALIA,,,1,HA,1159,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-01,Nass 1998 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,13,0,1998-09-02,Not  Available,MAMMALIA,,,1,HA,1158,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,14,0,1998-09-16,Not  Available,MAMMALIA,,Field comment: cani/weasel,1,HA,528,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,14,0,1998-09-16,Not  Available,MAMMALIA,,,1,HA,531,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,14,0,1998-09-16,Not  Available,MAMMALIA,,Field comment: weasel / very small,1,HA,530,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1998-09-15,Nass 1998 - Session 4,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,14,0,1998-09-16,Not  Available,MAMMALIA,,,1,HA,529,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-01,Nass 1999 - Session 1,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,7,0,1999-06-02,Not  Available,NULL,,,0,,,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-07,Nass 1999 - Session 2,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,6,0,1999-06-08,Not  Available,MAMMALIA,,Lab comment: less than 5 roots,1,HA,2081,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-07,Nass 1999 - Session 2,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,6,0,1999-06-08,Not  Available,M-URAM,,Lab ID # BC-86-99,1,HA,2082,,DNA
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-14,Nass 1999 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,7,0,1999-06-15,Not  Available,M-URAM,,Lab ID # BC-172-99,1,HA,1999,,DNA
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-14,Nass 1999 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,7,0,1999-06-15,Not  Available,M-URAM,,Lab ID # BC-22-99,1,HA,1995,,DNA
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-14,Nass 1999 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,7,0,1999-06-15,Not  Available,MAMMALIA,,Lab comment: less than 5 roots,1,HA,1996,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-14,Nass 1999 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,7,0,1999-06-15,Not  Available,M-URAM,,Lab ID # BC537,1,HA,1997,,DNA
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-14,Nass 1999 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,7,0,1999-06-15,Not  Available,M-URAM,,Lab ID # BC538,1,HA,1998,,DNA
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-14,Nass 1999 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,7,0,1999-06-15,Not  Available,MAMMALIA,,,1,HA,2001,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-14,Nass 1999 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,7,0,1999-06-15,Not  Available,MAMMALIA,,,1,HA,2002,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-14,Nass 1999 - Session 3,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,7,0,1999-06-15,Not  Available,MAMMALIA,,,1,HA,2000,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-22,Nass 1999 - Session 4,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,8,0,1999-06-23,Not  Available,M-URAM,,Lab ID # BC673,1,HA,2452,,DNA
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-22,Nass 1999 - Session 4,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,8,0,1999-06-23,Not  Available,MAMMALIA,,"Lab comment: failed, Lab ID # BC-134-99",1,HA,2455,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-22,Nass 1999 - Session 4,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,8,0,1999-06-23,Not  Available,MAMMALIA,,"Lab comment: failed, Lab ID # BC-115-99",1,HA,2454,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-22,Nass 1999 - Session 4,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,8,0,1999-06-23,Not  Available,MAMMALIA,,Lab comment: less than 5 roots,1,HA,2453,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-06-28,Nass 1999 - Session 5,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,6,0,1999-06-29,Not  Available,NULL,,,0,,,,
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1999-07-05,Nass 1999 - Session 6,,10B,10B,SAMPLE STATION,10,56.02433,-129.16349,,HR-BA-BS,489810,6208800,9,,7,0,1999-07-06,Not  Available,M-URAM,,Lab ID # BC870,1,HA,2273,,DNA
1997-1999 - Grizzly Bear - DNA-based Inventory - Nass Valley,Mid Nass Valley,1997-08-27,Nass 1997 - Session 1,,11A,11A,SAMPLE STATION,11,56.02542,-129.0515,,HR-BA-BS,496790,6208910,9,,15,0,1997-09-08,Not  Available,MAMMALIA,,,1,HA,59,,
