SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,Latitude DC (DD),Longitude DC (DD),DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,Watershed Code,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Spatial Accuracy (m),Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Micro-location,Sample Label,Sample Group Label,Barb Number,Sex,Species ID Method
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2015,darker; 1 sample only,1,HA,N,W,2026,F,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2015,blonde; 1 sample only,1,HA,N,W,2027,G,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,MAMMALIA,0,,blonde-grey,1,HA,N,W,2028,H,1,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,MAMMALIA,0,,blonde,1,HA,N,W,2029,H,2,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2015,reddish-grey,1,HA,N,W,2030,H,3,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,blonde-grey,1,HA,N,W,2031,H,4,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,blonde-grey,1,HA,N,W,2032,H,5,,VI
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,reddish-brown,1,HA,N,W,2033,I,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2008,reddish,1,HA,N,W,2034,J,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2008,reddish-brown,1,HA,N,W,2035,K,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2008,reddish-blonde,1,HA,N,W,2036,K,2,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,reddish; Psib > 0.05 so no individual assignment,1,HA,N,W,2037,K,3,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,MAMMALIA,0,,short,1,HA,N,W,2038,K,4,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,reddish-white; fine,1,HA,N,W,2039,K,5,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2008,reddish-brown,1,HA,N,W,2040,K,6,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2008,reddish-grey,1,HA,N,W,2041,L,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2008,reddish-grey,1,HA,N,W,2042,L,2,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2008,reddish-grey,1,HA,N,W,2043,L,3,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,blonde,1,HA,N,W,2044,M,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,blonde,1,HA,N,W,2045,M,2,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,,blonde-grey,1,HA,N,W,2046,M,3,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2047,reddish-grey,1,HA,N,W,2047,M,4,UC,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-07-23,Session 5,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,12,0000,1997-07-24,Stefan  Himmer,M-URAR,0,2015,reddish-blonde,1,HA,N,W,2048,N,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,96,"6 samples in this group, but only 1 sample taken",1,HA,N,W,96,A,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,96,"3 samples in this group, but only 1 sample taken",1,HA,N,W,97,B,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,96,,1,HA,N,W,109,C,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,96,"3 samples in this group, but only 1 sample taken",1,HA,N,W,98,D,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,96,,1,HA,N,W,99,E,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,96,,1,HA,N,W,100,E,2,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,MAMMALIA,0,,,1,HA,N,W,101,E,3,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,,,1,HA,N,W,102,F,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,96,,1,HA,N,W,103,G,1,M,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,MAMMALIA,0,,"4 samples in this group, but only 1 sample taken",1,HA,N,W,104,H,1,,
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,,"4 samples in this group, but only 1 sample taken",1,HA,N,W,105,I,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,,"3 samples in this group, but only 1 sample taken",1,HA,N,W,106,J,1,,VI
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,,,1,HA,N,W,107,K,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,,,1,HA,N,W,108,L,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,,"3 samples in this group, but only 1 sample taken",1,HA,N,W,800,M,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,,"3 samples in this group, but only 1 sample taken",1,HA,N,W,801,N,1,,DNA
1997 - Grizzly Bear - DNA-based Inventory - Kingcome,Kingcome 1997,1997-06-05,Session 1,,s001,s001,SAMPLE STATION,1,51.44554,-126.42941,,HR-BA-BS,678631,5702507,9,upper Wakeman,,7,0000,1997-06-13,Sidney  Waskiewich,M-URAR,0,,"2 samples in this group, but only 1 sample taken",1,HA,N,W,802,O,1,,VI
