SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Micro-location,Sample Label,Barb Number,Sex,Species ID Method
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s003,s003,SAMPLE STATION,3,Ground access,HR-BA-BS,446969,6138439,10,13,0000,2003-06-25,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1003T01,1,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s003,s003,SAMPLE STATION,3,Ground access,HR-BA-BS,446969,6138439,10,13,0000,2003-07-08,Landon  Wilson,M-URAM,,unextracted,1,HA,N,U,2003U10,10,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s003,s003,SAMPLE STATION,3,Ground access,HR-BA-BS,446969,6138439,10,13,0000,2003-07-08,Landon  Wilson,MAMMALIA,,unextracted,1,HA,N,U,2003U20,20,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s003,s003,SAMPLE STATION,3,Ground access,HR-BA-BS,446969,6138439,10,13,0000,2003-07-08,Landon  Wilson,M-URAM,,"Sample collected from rub pad (carpet with tacks), baited with beaver castor and dried catnip, installed on a tree at the site; Xspecies",1,HA,N,DC,2003RP0,,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s003,s003,SAMPLE STATION,3,Ground access,HR-BA-BS,446969,6138439,10,13,0000,2003-07-08,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,2003U01,1,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1004T01,1,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1004T02,2,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,MAMMALIA,,Xbomb,1,HA,N,L,1004B03,3,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,L,1004B10,10,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1004T11,11,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,L,1004B11,11,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1004T10,10,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1004T21,21,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1004T40,40,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,1004T50,50,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,L,1004B20,20,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,1004T53,53,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1004T54,54,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1004T60,60,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,1004T70,70,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1004T72,72,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,13,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1004T52,52,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,2004T01,1,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,unextracted,1,HA,N,U,2004T10,10,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,2004T70,70,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s004,s004,SAMPLE STATION,4,Ground access,HR-BA-BS,459018,6143924,10,14,0000,2003-07-05,Landon  Wilson,MAMMALIA,,unextracted,1,HA,N,U,2004T72,72,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,MAMMALIA,,unextracted,1,HA,N,U,1005T01,1,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,L,1005B01,1,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,1005T10,10,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,MAMMALIA,,unextracted,1,HA,N,U,1005T21,21,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,MAMMALIA,,unextracted,1,HA,N,U,1005T22,22,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,M-URAM,,unextracted,1,HA,N,U,1005T30,30,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,MAMMALIA,,unextracted,1,HA,N,U,1005T40,40,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,1005T42,42,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,M-URAM,,unextracted,1,HA,N,U,1005T50,50,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,1005T51,51,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s005,s005,SAMPLE STATION,5,Ground access,HR-BA-BS,465802,6143795,10,17,0000,2003-06-24,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,1005T20,20,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,1006T01,1,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,1006T10,10,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,L,1006B10,10,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1006T11,11,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,L,1006B01,1,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,L,1006B20,20,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1006T50,50,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1006T60,60,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1006T70,70,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,MAMMALIA,,unextracted,1,HA,N,U,1006T71,71,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,U,1006T74,74,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,unextracted,1,HA,N,L,1006B74,74,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-06-20,Session 1,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-06-21,Darcy  Fear,M-URAM,,Xspecies,1,HA,N,U,1006T12,12,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,2006T01,1,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,unextracted,1,HA,N,U,2006T10,10,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,unextracted,1,HA,N,L,2006B11,11,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,2006T12,12,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-07-05,Landon  Wilson,MAMMALIA,,unextracted,1,HA,N,L,2006B12,12,,
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,2006T11,11,,DNA
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,unextracted,1,HA,N,U,2006T20,20,,VI
2003 - Grizzly Bear - DNA-based Inventory - Nation River,Nation River,2003-07-04,Session 2,,s006,s006,SAMPLE STATION,6,Ground access,HR-BA-BS,474420,6141233,10,14,0000,2003-07-05,Landon  Wilson,M-URAM,,Xspecies,1,HA,N,U,2006T22,22,,DNA
