SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Label,Sex,Species ID Method
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-2-A1,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s1_2_U,s1_2_U,SAMPLE STATION,1,Ground access,HR-BA-BS,590751,5952370,10,,14,0000,2001-09-02,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-2-B10,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s1_3_U,s1_3_U,SAMPLE STATION,1,Ground access,HR-BA-BS,586571,5950317,10,,19,0000,2001-09-21,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-3-A1,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s1_3_U,s1_3_U,SAMPLE STATION,1,Ground access,HR-BA-BS,586571,5950317,10,,19,0000,2001-09-21,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-3-B1,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s1_3_U,s1_3_U,SAMPLE STATION,1,Ground access,HR-BA-BS,586571,5950317,10,,19,0000,2001-09-21,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-3-A2,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s1_3_U,s1_3_U,SAMPLE STATION,1,Ground access,HR-BA-BS,586571,5950317,10,,19,0000,2001-09-21,M.  Wolowicz,M-URAM,,unextracted,1,HA,01-3-A4,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s1_3_U,s1_3_U,SAMPLE STATION,1,Ground access,HR-BA-BS,586571,5950317,10,,19,0000,2001-09-21,M.  Wolowicz,M-URAM,,xspecies,1,HA,01-3-C1,,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s10_1_U,s10_1_U,SAMPLE STATION,10,Ground access,HR-BA-BS,576061,5935257,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAR,,unextracted,1,HA,10-1-B10,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s10_1_U,s10_1_U,SAMPLE STATION,10,Ground access,HR-BA-BS,576061,5935257,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,unextracted,1,HA,10-1-A1,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s10_1_U,s10_1_U,SAMPLE STATION,10,Ground access,HR-BA-BS,576061,5935257,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,unextracted,1,HA,10-1-A2,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s10_1_U,s10_1_U,SAMPLE STATION,10,Ground access,HR-BA-BS,576061,5935257,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAR,10-1-B11,sample,1,HA,10-1-B11,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s10_1_U,s10_1_U,SAMPLE STATION,10,Ground access,HR-BA-BS,576061,5935257,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAR,,Xbomb,1,HA,10-1-B12,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s10_1_U,s10_1_U,SAMPLE STATION,10,Ground access,HR-BA-BS,576061,5935257,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,unextracted,1,HA,10-1-B13,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s10_1_U,s10_1_U,SAMPLE STATION,10,Ground access,HR-BA-BS,576061,5935257,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,xspecies,1,HA,10-1-B14,,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s10_1_U,s10_1_U,SAMPLE STATION,10,Ground access,HR-BA-BS,576061,5935257,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAR,10-1-B11,sample,1,HA,10-1-B15,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s10_1_U,s10_1_U,SAMPLE STATION,10,Ground access,HR-BA-BS,576061,5935257,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAR,,unextracted,1,HA,10-1-C20,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s10_1_U,s10_1_U,SAMPLE STATION,10,Ground access,HR-BA-BS,576061,5935257,10,,15,0000,2001-08-19,M.  Wolowicz,MAMMALIA,,unextracted,1,HA,10-1-D30,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s10_2_U,s10_2_U,SAMPLE STATION,10,Helicopter access,HR-BA-BS,572037,5936945,10,Did not remove site.,13,0000,2001-08-30,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s10_2_U,s10_2_U,SAMPLE STATION,10,Helicopter access,HR-BA-BS,572037,5936945,10,,16,0000,2001-09-15,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s11_1_U,s11_1_U,SAMPLE STATION,11,Helicopter access,HR-BA-BS,603892,5934322,10,Did not remove site.,13,0000,2001-08-16,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s11_1_U,s11_1_U,SAMPLE STATION,11,Helicopter access,HR-BA-BS,603892,5934322,10,,14,0000,2001-08-30,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s11_2B_U,s11_2B_U,SAMPLE STATION,11,Helicopter access,HR-BA-BS,602538,5931627,10,,14,0000,2001-08-30,M.  Wolowicz,M-URAM,,unextracted,1,HA,11-2B-A1,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s11_2B_U,s11_2B_U,SAMPLE STATION,11,Helicopter access,HR-BA-BS,602538,5931627,10,,14,0000,2001-08-30,M.  Wolowicz,M-URAM,,unextracted,1,HA,11-2B-B10,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s11_2B_U,s11_2B_U,SAMPLE STATION,11,Helicopter access,HR-BA-BS,602538,5931627,10,,14,0000,2001-08-30,M.  Wolowicz,M-URAM,,xspecies,1,HA,11-2B-C20,,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s11_2B_U,s11_2B_U,SAMPLE STATION,11,Helicopter access,HR-BA-BS,602538,5931627,10,,14,0000,2001-08-30,M.  Wolowicz,M-URAM,,xspecies,1,HA,11-2B-C23,,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s11_3_U,s11_3_U,SAMPLE STATION,11,Helicopter access,HR-BA-BS,605532,5935717,10,,16,0000,2001-09-15,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-13,River Session 1,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,7,0000,2001-08-13,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s14_3_U,s14_3_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,616378,5927893,10,,16,0000,2001-09-15,M.  Wolowicz,M-URAR,,unextracted,1,HA,14-3-H73,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s14_3_U,s14_3_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,616378,5927893,10,,16,0000,2001-09-15,M.  Wolowicz,M-URAR,,unextracted,1,HA,14-3-H70,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s14_3_U,s14_3_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,616378,5927893,10,,16,0000,2001-09-15,M.  Wolowicz,M-URAR,14-3-A2,sample,1,HA,14-3-G61,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s14_3_U,s14_3_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,616378,5927893,10,,16,0000,2001-09-15,M.  Wolowicz,M-URAR,,unextracted,1,HA,14-3-G60,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s14_3_U,s14_3_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,616378,5927893,10,,16,0000,2001-09-15,M.  Wolowicz,M-URAR,14-3-A2,sample,1,HA,14-3-F51,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-27,River Session 3,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,14,0000,2001-08-27,M.  Wolowicz,M-URAR,02-1A-D30,sample,1,HA,12-1R-3-C20,M,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-27,River Session 3,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,14,0000,2001-08-27,M.  Wolowicz,M-URAR,18-1-B10,sample,1,HA,12-1R-3-A1,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-27,River Session 3,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,14,0000,2001-08-27,M.  Wolowicz,MAMMALIA,,unextracted,1,HA,12-1R-3-C21,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-27,River Session 3,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,14,0000,2001-08-27,M.  Wolowicz,MAMMALIA,,Xbomb,1,HA,12-1R-3-B11,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-27,River Session 3,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,14,0000,2001-08-27,M.  Wolowicz,M-URAM,,xspecies,1,HA,12-1R-3-B10,,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-27,River Session 3,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,14,0000,2001-08-27,M.  Wolowicz,M-URAR,02-1A-D30,sample,1,HA,12-1R-3-C22,M,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-03,River Session 4,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,7,0000,2001-09-03,T.  Bochmann,MAMMALIA,,unextracted,1,HA,12-1R-4-A1,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-03,River Session 4,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,7,0000,2001-09-03,T.  Bochmann,MAMMALIA,,unextracted,1,HA,12-1R-4-B10,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-03,River Session 4,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,7,0000,2001-09-03,T.  Bochmann,MAMMALIA,,unextracted,1,HA,12-1R-4-C20,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-03,River Session 4,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,7,0000,2001-09-03,T.  Bochmann,M-URAM,,unextracted,1,HA,12-1R-4-C23,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-03,River Session 4,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,7,0000,2001-09-03,T.  Bochmann,M-URAM,,unextracted,1,HA,12-1R-4-C22,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-12,River Session 5,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,9,0000,2001-09-12,M.  Wolowicz,M-URAR,16-2-A1,sample,1,HA,12-1R-5-C21,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-12,River Session 5,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,9,0000,2001-09-12,M.  Wolowicz,M-URAR,16-2-A1,sample,1,HA,12-1R-5-C20,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-12,River Session 5,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,9,0000,2001-09-12,M.  Wolowicz,M-URAR,,unextracted,1,HA,12-1R-5-D30,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-12,River Session 5,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,9,0000,2001-09-12,M.  Wolowicz,M-URAR,16-2-A1,sample,1,HA,12-1R-5-A1,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-12,River Session 5,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,9,0000,2001-09-12,M.  Wolowicz,M-URAR,16-2-A1,sample,1,HA,12-1R-5-E31,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-12,River Session 5,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,9,0000,2001-09-12,M.  Wolowicz,M-URAR,16-2-A1,sample,1,HA,12-1R-5-H60,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-12,River Session 5,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,9,0000,2001-09-12,M.  Wolowicz,M-URAM,,unextracted,1,HA,12-1R-5-F40,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-12,River Session 5,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,9,0000,2001-09-12,M.  Wolowicz,MAMMALIA,,Xbomb,1,HA,12-1R-5-G50,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-12,River Session 5,,s12_1_R,s12_1_R,SAMPLE STATION,12,River access,HR-BA-BS,590397,5932698,10,,9,0000,2001-09-12,M.  Wolowicz,M-URAM,,unextracted,1,HA,12-1R-5-B10,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s12_1_U,s12_1_U,SAMPLE STATION,12,Ground access,HR-BA-BS,582188,5933444,10,,15,0000,2001-08-19,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s12_2_U,s12_2_U,SAMPLE STATION,12,Ground access,HR-BA-BS,584772,5931934,10,,13,0000,2001-09-01,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s12_3_U,s12_3_U,SAMPLE STATION,12,Ground access,HR-BA-BS,587900,5929612,10,,20,0000,2001-09-21,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s13_1_U,s13_1_U,SAMPLE STATION,13,Ground access,HR-BA-BS,569661,5935624,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,xspecies,1,HA,13-1-A1,,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s13_1_U,s13_1_U,SAMPLE STATION,13,Ground access,HR-BA-BS,569661,5935624,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,unextracted,1,HA,13-1-C20,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s13_1_U,s13_1_U,SAMPLE STATION,13,Ground access,HR-BA-BS,569661,5935624,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,unextracted,1,HA,13-1-A2,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s13_1_U,s13_1_U,SAMPLE STATION,13,Ground access,HR-BA-BS,569661,5935624,10,,15,0000,2001-08-19,M.  Wolowicz,M-URAM,,xspecies,1,HA,13-1-B10,,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s13_2_U,s13_2_U,SAMPLE STATION,13,Ground access,HR-BA-BS,569346,5931133,10,,13,0000,2001-09-02,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-09-15,Upland Session 3,,s13_3_U,s13_3_U,SAMPLE STATION,13,Ground access,HR-BA-BS,564506,5933757,10,,18,0000,2001-09-20,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-16,Upland Session 1,,s14_1_U,s14_1_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,615641,5932885,10,Did not remove site.,13,0000,2001-08-16,M.  Wolowicz,NULL,,,0,,,,
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s14_1_U,s14_1_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,615641,5932885,10,,14,0000,2001-08-30,M.  Wolowicz,M-URAR,14-2B-C20,sample,1,HA,14-2B-E41,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s14_1_U,s14_1_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,615641,5932885,10,,14,0000,2001-08-30,M.  Wolowicz,M-URAR,08-2-C20,sample,1,HA,14-2B-A1,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s14_1_U,s14_1_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,615641,5932885,10,,14,0000,2001-08-30,M.  Wolowicz,M-URAR,,unextracted,1,HA,14-2B-B10,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s14_1_U,s14_1_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,615641,5932885,10,,14,0000,2001-08-30,M.  Wolowicz,M-URAR,08-2-C20,sample,1,HA,14-2B-B11,F,DNA
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s14_1_U,s14_1_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,615641,5932885,10,,14,0000,2001-08-30,M.  Wolowicz,M-URAR,,unextracted,1,HA,14-2B-B12,,VI
2001 - Grizzly Bear - DNA-based Inventory - Lower Bowron River,Lower Bowron River,2001-08-30,Upland Session 2,,s14_1_U,s14_1_U,SAMPLE STATION,14,Helicopter access,HR-BA-BS,615641,5932885,10,,14,0000,2001-08-30,M.  Wolowicz,M-URAR,08-2-C20,sample,1,HA,14-2B-B13,F,DNA
