SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,Design Component Label,Site Design Component Label,DC Type,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Species,Animal ID,Comments,Count,Sample Material,Sample Is Incidental,Sample Micro-location,Sample Label,Sample Group Label,Barb Number,Sex,Species ID Method
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s007,s007,SAMPLE STATION,"Road Access; take road just north of bridge at 8 km sign on West Main Mesilinka, drive far up this road, site is in clump of trees in cutblock",HR-BA-BS,397757,6233226,10,,16,0000,2005-09-29,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s007,s007,SAMPLE STATION,"Road Access; take road just north of bridge at 8 km sign on West Main Mesilinka, drive far up this road, site is in clump of trees in cutblock",HR-BA-BS,397757,6233226,10,,18,0000,2005-10-17,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,U,3001,B,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s007,s007,SAMPLE STATION,"Road Access; take road just north of bridge at 8 km sign on West Main Mesilinka, drive far up this road, site is in clump of trees in cutblock",HR-BA-BS,397757,6233226,10,,18,0000,2005-10-17,Doug  Heard,M-URAM,3002,sample,1,HA,N,U,3002,B,3,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s007,s007,SAMPLE STATION,"Road Access; take road just north of bridge at 8 km sign on West Main Mesilinka, drive far up this road, site is in clump of trees in cutblock",HR-BA-BS,397757,6233226,10,,18,0000,2005-10-17,Doug  Heard,M-URAM,3002,sample,1,HA,N,U,3003,B,4,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s007,s007,SAMPLE STATION,"Road Access; take road just north of bridge at 8 km sign on West Main Mesilinka, drive far up this road, site is in clump of trees in cutblock",HR-BA-BS,397757,6233226,10,,18,0000,2005-10-17,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,U,3004,B,5,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s007,s007,SAMPLE STATION,"Road Access; take road just north of bridge at 8 km sign on West Main Mesilinka, drive far up this road, site is in clump of trees in cutblock",HR-BA-BS,397757,6233226,10,,18,0000,2005-10-17,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,U,3039,B,6,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s007,s007,SAMPLE STATION,"Road Access; take road just north of bridge at 8 km sign on West Main Mesilinka, drive far up this road, site is in clump of trees in cutblock",HR-BA-BS,397757,6233226,10,,18,0000,2005-10-17,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,L,3040,A,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s007,s007,SAMPLE STATION,"Road Access; take road just north of bridge at 8 km sign on West Main Mesilinka, drive far up this road, site is in clump of trees in cutblock",HR-BA-BS,397757,6233226,10,,18,0000,2005-10-17,Doug  Heard,M-URAM,3058,sample,1,HA,N,L,3058,A,2,M,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s007,s007,SAMPLE STATION,"Road Access; take road just north of bridge at 8 km sign on West Main Mesilinka, drive far up this road, site is in clump of trees in cutblock",HR-BA-BS,397757,6233226,10,,18,0000,2005-10-17,Doug  Heard,MAMMALIA,,Xbomb,1,HA,N,L,3124,C,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s007,s007,SAMPLE STATION,"Road Access; take road just north of bridge at 8 km sign on West Main Mesilinka, drive far up this road, site is in clump of trees in cutblock",HR-BA-BS,397757,6233226,10,,18,0000,2005-10-17,Doug  Heard,M-URAM,3002,sample,1,HA,N,L,3125,D,1,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s008,s008,SAMPLE STATION,"Road Access; south at 8 km on Osilinka, go to end of Hidden Valley Road (5 water bars to go through to get here), site in cutblock near landing",HR-BA-BS,393878,6204017,10,,13,0000,2005-09-27,Doug  Heard,M-URAR,2341,sample,1,HA,N,L,2341,E,1,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s008,s008,SAMPLE STATION,"Road Access; south at 8 km on Osilinka, go to end of Hidden Valley Road (5 water bars to go through to get here), site in cutblock near landing",HR-BA-BS,393878,6204017,10,,13,0000,2005-09-27,Doug  Heard,MAMMALIA,,Xbomb,1,HA,N,U,2342,B,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s008,s008,SAMPLE STATION,"Road Access; south at 8 km on Osilinka, go to end of Hidden Valley Road (5 water bars to go through to get here), site in cutblock near landing",HR-BA-BS,393878,6204017,10,,13,0000,2005-09-27,Doug  Heard,M-URAR,2341,sample,1,HA,N,T,2574,F,1,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s008,s008,SAMPLE STATION,"Road Access; south at 8 km on Osilinka, go to end of Hidden Valley Road (5 water bars to go through to get here), site in cutblock near landing",HR-BA-BS,393878,6204017,10,,13,0000,2005-09-27,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,L,3012,A,2,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s008,s008,SAMPLE STATION,"Road Access; south at 8 km on Osilinka, go to end of Hidden Valley Road (5 water bars to go through to get here), site in cutblock near landing",HR-BA-BS,393878,6204017,10,,13,0000,2005-09-27,Doug  Heard,M-URAR,2341,sample,1,HA,N,L,3013,A,1,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s008,s008,SAMPLE STATION,"Road Access; south at 8 km on Osilinka, go to end of Hidden Valley Road (5 water bars to go through to get here), site in cutblock near landing",HR-BA-BS,393878,6204017,10,,13,0000,2005-09-27,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,L,3017,C,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s008,s008,SAMPLE STATION,"Road Access; south at 8 km on Osilinka, go to end of Hidden Valley Road (5 water bars to go through to get here), site in cutblock near landing",HR-BA-BS,393878,6204017,10,,13,0000,2005-09-27,Doug  Heard,M-URAR,2341,sample,1,HA,N,L,3018,C,2,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s008,s008,SAMPLE STATION,"Road Access; south at 8 km on Osilinka, go to end of Hidden Valley Road (5 water bars to go through to get here), site in cutblock near landing",HR-BA-BS,393878,6204017,10,,13,0000,2005-09-27,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,U,3019,D,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s008,s008,SAMPLE STATION,"Road Access; south at 8 km on Osilinka, go to end of Hidden Valley Road (5 water bars to go through to get here), site in cutblock near landing",HR-BA-BS,393878,6204017,10,,13,0000,2005-09-27,Doug  Heard,M-URAR,2341,sample,1,HA,N,U,3020,D,2,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s008,s008,SAMPLE STATION,"Road Access; south at 8 km on Osilinka, go to end of Hidden Valley Road (5 water bars to go through to get here), site in cutblock near landing",HR-BA-BS,393878,6204017,10,,22,0000,2005-10-19,Doug  Heard,MAMMALIA,,Xbomb,1,HA,N,U,3080,A,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s009,s009,SAMPLE STATION,"Road Access; at 9 km on Hidden Valley Road turn onto Osilinka South Road, site in wildlife tree patch on top of knob in cutblock at 1 km sign",HR-BA-BS,399296,6207315,10,,13,0000,2005-09-27,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s009,s009,SAMPLE STATION,"Road Access; at 9 km on Hidden Valley Road turn onto Osilinka South Road, site in wildlife tree patch on top of knob in cutblock at 1 km sign",HR-BA-BS,399296,6207315,10,,22,0000,2005-10-19,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s010,s010,SAMPLE STATION,"Road Access; off main road south of camp, lots of water bars (drive slowly!), site is on edge of cutblock, 100 m up steep hill",HR-BA-BS,405883,6217661,10,,12,0000,2005-09-26,Doug  Heard,M-URAR,2572,sample,1,HA,N,W,2571,A,1,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s011,s011,SAMPLE STATION,"Road Access; North side of Mesilinka at bridge, go east 50 m to end of gravel bar",HR-BA-BS,356700,6245321,10,,22,0000,2005-10-19,Doug  Heard,MAMMALIA,,Xspecies; envelope says 'moose - do not run',1,HA,N,U,3061,A,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s011,s011,SAMPLE STATION,"Road Access; North side of Mesilinka at bridge, go east 50 m to end of gravel bar",HR-BA-BS,356700,6245321,10,,22,0000,2005-10-19,Doug  Heard,MAMMALIA,,Xspecies; envelope says 'moose - do not run',1,HA,N,U,3099,A,2,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s012,s012,SAMPLE STATION,Road Access; in cutclock right beside road at top of May Not Main Road (excellent road off Tenakihi Main),HR-BA-BS,365224,6235986,10,,12,0000,2005-09-27,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s012,s012,SAMPLE STATION,Road Access; in cutclock right beside road at top of May Not Main Road (excellent road off Tenakihi Main),HR-BA-BS,365224,6235986,10,,22,0000,2005-10-19,Doug  Heard,MAMMALIA,,Xspecies; ungulate hairs,1,HA,N,U,3096,A,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s012,s012,SAMPLE STATION,Road Access; in cutclock right beside road at top of May Not Main Road (excellent road off Tenakihi Main),HR-BA-BS,365224,6235986,10,,22,0000,2005-10-19,Doug  Heard,MAMMALIA,,Xbomb; prob. not bear,1,HA,N,U,3097,B,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s013,s013,SAMPLE STATION,Road Access; site on edge of forest near intersection of May Not Road and powerline (100 m down a little side road),HR-BA-BS,363949,6230153,10,,12,0000,2005-09-27,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s013,s013,SAMPLE STATION,Road Access; site on edge of forest near intersection of May Not Road and powerline (100 m down a little side road),HR-BA-BS,363949,6230153,10,,22,0000,2005-10-19,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s014,s014,SAMPLE STATION,"Road Access; site up a cutblock road (with a few water bars) south off Wasi Main, north of Wasi Lake",HR-BA-BS,374406,6221792,10,,12,0000,2005-09-27,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s014,s014,SAMPLE STATION,"Road Access; site up a cutblock road (with a few water bars) south off Wasi Main, north of Wasi Lake",HR-BA-BS,374406,6221792,10,,22,0000,2005-10-19,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s015,s015,SAMPLE STATION,"Road Access; site 40 m upslope in cutblock on good road south of Wasi Main, northeast of Wasi Lake",HR-BA-BS,373835,6218588,10,,12,0000,2005-09-27,Doug  Heard,NULL,,,0,,,,,,,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s015,s015,SAMPLE STATION,"Road Access; site 40 m upslope in cutblock on good road south of Wasi Main, northeast of Wasi Lake",HR-BA-BS,373835,6218588,10,,22,0000,2005-10-19,Doug  Heard,M-URAR,3084,sample,1,HA,N,W,3084,C,1,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s015,s015,SAMPLE STATION,"Road Access; site 40 m upslope in cutblock on good road south of Wasi Main, northeast of Wasi Lake",HR-BA-BS,373835,6218588,10,,22,0000,2005-10-19,Doug  Heard,M-URAR,3084,sample,1,HA,N,W,3085,B,1,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-09-17,Session 1,s017A,s017A,SAMPLE STATION,"Boat Access; 2nd channel of Germansen River, downstream of Landing, just past the first big sand bar. One trail set 50 m up on L bank, one below 2 dead trees across river another 50 m upstream.",HR-BA-TR,393272,6183533,10,Nights trapped for these incidental samples that were collected the day the trail sets were established is based off an arbitrary set date of 2005-09-03.,14,0000,2005-09-17,Doug  Heard,MAMMALIA,,Xspecies; envelope says 'wolf - do not run',1,HA,Y,T,2343,A,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017A,s017A,SAMPLE STATION,"Boat Access; 2nd channel of Germansen River, downstream of Landing, just past the first big sand bar. One trail set 50 m up on L bank, one below 2 dead trees across river another 50 m upstream.",HR-BA-TR,393272,6183533,10,,31,0000,2005-10-18,Doug  Heard,MAMMALIA,,"Xbomb; envelope says 'wolf', but not distinctive, so extracted underfur",1,HA,N,W,2614,H,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017A,s017A,SAMPLE STATION,"Boat Access; 2nd channel of Germansen River, downstream of Landing, just past the first big sand bar. One trail set 50 m up on L bank, one below 2 dead trees across river another 50 m upstream.",HR-BA-TR,393272,6183533,10,,31,0000,2005-10-18,Doug  Heard,MAMMALIA,,Xbomb,1,HA,N,W,2615,G,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017A,s017A,SAMPLE STATION,"Boat Access; 2nd channel of Germansen River, downstream of Landing, just past the first big sand bar. One trail set 50 m up on L bank, one below 2 dead trees across river another 50 m upstream.",HR-BA-TR,393272,6183533,10,,31,0000,2005-10-18,Doug  Heard,MAMMALIA,,Xbomb; v. pale - prob. not bear,1,HA,N,W,2616,F,4,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017A,s017A,SAMPLE STATION,"Boat Access; 2nd channel of Germansen River, downstream of Landing, just past the first big sand bar. One trail set 50 m up on L bank, one below 2 dead trees across river another 50 m upstream.",HR-BA-TR,393272,6183533,10,,31,0000,2005-10-18,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,W,2617,F,3,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017A,s017A,SAMPLE STATION,"Boat Access; 2nd channel of Germansen River, downstream of Landing, just past the first big sand bar. One trail set 50 m up on L bank, one below 2 dead trees across river another 50 m upstream.",HR-BA-TR,393272,6183533,10,,31,0000,2005-10-18,Doug  Heard,MAMMALIA,,Xmixed; looks like mixed species,1,HA,N,W,2618,F,1,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017A,s017A,SAMPLE STATION,"Boat Access; 2nd channel of Germansen River, downstream of Landing, just past the first big sand bar. One trail set 50 m up on L bank, one below 2 dead trees across river another 50 m upstream.",HR-BA-TR,393272,6183533,10,,31,0000,2005-10-18,Doug  Heard,M-URAR,2619,sample,1,HA,N,W,2619,E,6,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017A,s017A,SAMPLE STATION,"Boat Access; 2nd channel of Germansen River, downstream of Landing, just past the first big sand bar. One trail set 50 m up on L bank, one below 2 dead trees across river another 50 m upstream.",HR-BA-TR,393272,6183533,10,,31,0000,2005-10-18,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,W,3105,E,4,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017A,s017A,SAMPLE STATION,"Boat Access; 2nd channel of Germansen River, downstream of Landing, just past the first big sand bar. One trail set 50 m up on L bank, one below 2 dead trees across river another 50 m upstream.",HR-BA-TR,393272,6183533,10,,31,0000,2005-10-18,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,W,3106,E,3,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017A,s017A,SAMPLE STATION,"Boat Access; 2nd channel of Germansen River, downstream of Landing, just past the first big sand bar. One trail set 50 m up on L bank, one below 2 dead trees across river another 50 m upstream.",HR-BA-TR,393272,6183533,10,,31,0000,2005-10-18,Doug  Heard,M-URAR,3006,sample,1,HA,N,W,3107,E,2,F,DNA
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017B,s017B,SAMPLE STATION,Boat Access; middle bar in Germansen main channel at Omineca River,HR-BA-BS,393272,6183533,10,,20,0000,2005-10-18,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,W,3104,A,16,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017B,s017B,SAMPLE STATION,Boat Access; middle bar in Germansen main channel at Omineca River,HR-BA-BS,393272,6183533,10,,20,0000,2005-10-18,Doug  Heard,MAMMALIA,,unextracted,1,HA,N,W,3108,A,15,,
2005 - Grizzly Bear - DNA-based Inventory - Osilinka River,Osilinka River,2005-10-17,Session 2,s017B,s017B,SAMPLE STATION,Boat Access; middle bar in Germansen main channel at Omineca River,HR-BA-BS,393272,6183533,10,,20,0000,2005-10-18,Doug  Heard,M-URAR,3006,sample,1,HA,N,W,3112,A,1,F,DNA
