SURVEY_NAME,Study Area Name,StudyAreaVisitStartDateTime,StudyAreaVisitNote,DC Area (sq m),Design Component Label,Site Design Component Label,DC Type,Grid Cell,DC Comments,Trap Type,Easting DC,Northing DC,UTM Zone DC,DC Visit Comments,Nights Trapped,Time,Date,Surveyor,Count,Sample Label,Species Guess,Sample Material,Sample Micro-location,Sample Group Label,Sample Is Incidental,Species,Species ID Method,Animal ID,Comments,Sex
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,3A,3A,SAMPLE STATION,3,Set and checked by helicopter,HR-BA-BS,658440,5500208,11,bait pile not disturbed,18,0000,2007-06-19,A.  Lorincz,1,15138-1x,M-URAR,HA,W,x,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,3A,3A,SAMPLE STATION,3,Set and checked by helicopter,HR-BA-BS,658440,5500208,11,bait pile not disturbed,18,0000,2007-06-19,A.  Lorincz,1,15138-2x,M-URAR,HA,W,x,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,3A,3A,SAMPLE STATION,3,Set and checked by helicopter,HR-BA-BS,658440,5500208,11,bait pile not disturbed,18,0000,2007-06-19,A.  Lorincz,1,15138-3a,M-URAR,HA,W,a,N,M-URAR,DNA,5712,sample; Animal ID in 2007 was 15138-7b,M
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,3A,3A,SAMPLE STATION,3,Set and checked by helicopter,HR-BA-BS,658440,5500208,11,bait pile not disturbed,18,0000,2007-06-19,A.  Lorincz,1,15138-4a,M-URAR,HA,W,a,N,MAMMALIA,,,unextracted;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,3A,3A,SAMPLE STATION,3,Set and checked by helicopter,HR-BA-BS,658440,5500208,11,bait pile not disturbed,18,0000,2007-06-19,A.  Lorincz,1,15138-5a,M-URAR,HA,W,a,N,MAMMALIA,,,unextracted;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,3A,3A,SAMPLE STATION,3,Set and checked by helicopter,HR-BA-BS,658440,5500208,11,bait pile not disturbed,18,0000,2007-06-19,A.  Lorincz,1,15138-6x,M-URAR,HA,W,x,N,M-URAR,DNA,15138-10s,sample;,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,3A,3A,SAMPLE STATION,3,Set and checked by helicopter,HR-BA-BS,658440,5500208,11,bait pile not disturbed,18,0000,2007-06-19,A.  Lorincz,1,15138-7b,M-URAR,HA,W,b,N,M-URAR,DNA,5712,sample; Animal ID in 2007 was 15138-7b,M
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,3A,3A,SAMPLE STATION,3,Set and checked by helicopter,HR-BA-BS,658440,5500208,11,bait pile not disturbed,18,0000,2007-06-19,A.  Lorincz,1,15138-8b,M-URAR,HA,W,b,N,MAMMALIA,,,unextracted;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,3A,3A,SAMPLE STATION,3,Set and checked by helicopter,HR-BA-BS,658440,5500208,11,bait pile not disturbed,18,0000,2007-06-19,A.  Lorincz,1,15138-9x,M-URAM,HA,W,x,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,3A,3A,SAMPLE STATION,3,Set and checked by helicopter,HR-BA-BS,658440,5500208,11,bait pile not disturbed,18,0000,2007-06-19,A.  Lorincz,1,15138-10s,M-URAR,HA,P,s,N,M-URAR,DNA,15138-10s,sample;,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,7A,7A,SAMPLE STATION,7,Set and checked by quad,HR-BA-BS,643869,5489001,11,,14,0000,2007-06-16,J.  Minifie,1,14768-1x,M-URAR,HA,W,x,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,7A,7A,SAMPLE STATION,7,Set and checked by quad,HR-BA-BS,643869,5489001,11,,14,0000,2007-06-16,J.  Minifie,1,14768-2v,M-URAR,HA,G,v,N,M-URAM,DNA,,Xblack; under 1x,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,8A,8A,SAMPLE STATION,8,Set and checked by quad,HR-BA-BS,655530,5487354,11,,14,0000,2007-06-16,J.  Minifie,1,14771-7r,M-URAR,HA,R,r,N,M-URAR,DNA,79349,sample; Animal ID in 2007 was 14824-6s,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,8A,8A,SAMPLE STATION,8,Set and checked by quad,HR-BA-BS,655530,5487354,11,,14,0000,2007-06-16,J.  Minifie,1,14771-1a,M-URAM,HA,W,a,N,M-URAR,DNA,79349,sample; Animal ID in 2007 was 14824-6s,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,8A,8A,SAMPLE STATION,8,Set and checked by quad,HR-BA-BS,655530,5487354,11,,14,0000,2007-06-16,J.  Minifie,1,14771-2a,M-URAM,HA,W,a,N,MAMMALIA,,,Xbomb;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,8A,8A,SAMPLE STATION,8,Set and checked by quad,HR-BA-BS,655530,5487354,11,,14,0000,2007-06-16,J.  Minifie,1,14771-3x,M-URAR,HA,W,x,N,M-URAR,DNA,79349,sample; Animal ID in 2007 was 14824-6s,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,8A,8A,SAMPLE STATION,8,Set and checked by quad,HR-BA-BS,655530,5487354,11,,14,0000,2007-06-16,J.  Minifie,1,14771-4b,M-URAR,HA,W,b,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,8A,8A,SAMPLE STATION,8,Set and checked by quad,HR-BA-BS,655530,5487354,11,,14,0000,2007-06-16,J.  Minifie,1,14771-5b,M-URAR,HA,W,b,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,8A,8A,SAMPLE STATION,8,Set and checked by quad,HR-BA-BS,655530,5487354,11,,14,0000,2007-06-16,J.  Minifie,1,14771-6b,M-URAR,HA,W,b,N,MAMMALIA,,,Xbomb;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,9A,9A,SAMPLE STATION,9,Set and checked by quad,HR-BA-BS,659065,5490261,11,,15,0000,2007-06-17,J.  Minifie,1,14773-1x,M-URAR,HA,W,x,N,M-URAR,DNA,79350,sample; Animal ID in 2007 was 15044-2a,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,9A,9A,SAMPLE STATION,9,Set and checked by quad,HR-BA-BS,659065,5490261,11,,15,0000,2007-06-17,J.  Minifie,1,14773-2x,M-URAR,HA,W,x,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,9A,9A,SAMPLE STATION,9,Set and checked by quad,HR-BA-BS,659065,5490261,11,,15,0000,2007-06-17,J.  Minifie,1,14773-3x,M-URAR,HA,W,x,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,9A,9A,SAMPLE STATION,9,Set and checked by quad,HR-BA-BS,659065,5490261,11,,15,0000,2007-06-17,J.  Minifie,1,14773-4r,M-URAR,HA,R,r,N,M-URAR,DNA,79350,sample; Animal ID in 2007 was 15044-2a; near 3x,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,9A,9A,SAMPLE STATION,9,Set and checked by quad,HR-BA-BS,659065,5490261,11,,15,0000,2007-06-17,J.  Minifie,1,14773-5x,M-URAR,HA,W,x,N,M-URAR,DNA,79350,sample; Animal ID in 2007 was 15044-2a,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,9A,9A,SAMPLE STATION,9,Set and checked by quad,HR-BA-BS,659065,5490261,11,,15,0000,2007-06-17,J.  Minifie,1,14773-6x,M-URAR,HA,W,x,N,M-URAR,DNA,79350,sample; Animal ID in 2007 was 15044-2a,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,9A,9A,SAMPLE STATION,9,Set and checked by quad,HR-BA-BS,659065,5490261,11,,15,0000,2007-06-17,J.  Minifie,1,14773-7x,,HA,W,x,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,9A,9A,SAMPLE STATION,9,Set and checked by quad,HR-BA-BS,659065,5490261,11,,15,0000,2007-06-17,J.  Minifie,1,14773-8s,M-URAR,HA,P,s,N,M-URAR,DNA,79350,sample; Animal ID in 2007 was 15044-2a,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,10A,10A,SAMPLE STATION,10,Set and checked by quad,HR-BA-BS,664434,5489814,11,,11,0000,2007-06-17,J.  Minifie,1,14772-1x,M-URAR,HA,W,x,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,10A,10A,SAMPLE STATION,10,Set and checked by quad,HR-BA-BS,664434,5489814,11,,11,0000,2007-06-17,J.  Minifie,1,14772-2x,M-URAM,HA,W,x,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,11A,11A,SAMPLE STATION,11,Set and checked by helicopter,HR-BA-BS,672896,5489228,11,bait pile disturbed,14,0000,2007-06-15,A.  Lorincz,1,15120-1a,M-URAR,HA,W,a,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,11A,11A,SAMPLE STATION,11,Set and checked by helicopter,HR-BA-BS,672896,5489228,11,bait pile disturbed,14,0000,2007-06-15,A.  Lorincz,1,15120-2a,M-URAR,HA,W,a,N,MAMMALIA,,,unextracted;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,11A,11A,SAMPLE STATION,11,Set and checked by helicopter,HR-BA-BS,672896,5489228,11,bait pile disturbed,14,0000,2007-06-15,A.  Lorincz,1,15120-3b,M-URAR,HA,W,b,N,MAMMALIA,,,unextracted;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,11A,11A,SAMPLE STATION,11,Set and checked by helicopter,HR-BA-BS,672896,5489228,11,bait pile disturbed,14,0000,2007-06-15,A.  Lorincz,1,15120-4b,M-URAR,HA,W,b,N,M-URAR,DNA,15120-9t,sample;,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,11A,11A,SAMPLE STATION,11,Set and checked by helicopter,HR-BA-BS,672896,5489228,11,bait pile disturbed,14,0000,2007-06-15,A.  Lorincz,1,15120-5x,M-URAR,HA,W,x,N,M-URAR,DNA,15120-9t,sample;,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,11A,11A,SAMPLE STATION,11,Set and checked by helicopter,HR-BA-BS,672896,5489228,11,bait pile disturbed,14,0000,2007-06-15,A.  Lorincz,1,15120-6x,M-URAR,HA,W,x,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,11A,11A,SAMPLE STATION,11,Set and checked by helicopter,HR-BA-BS,672896,5489228,11,bait pile disturbed,14,0000,2007-06-15,A.  Lorincz,1,15120-7x,M-URAR,HA,W,x,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,11A,11A,SAMPLE STATION,11,Set and checked by helicopter,HR-BA-BS,672896,5489228,11,bait pile disturbed,14,0000,2007-06-15,A.  Lorincz,1,15120-8t,M-URAR,HA,T,t,N,MAMMALIA,,,unextracted;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,11A,11A,SAMPLE STATION,11,Set and checked by helicopter,HR-BA-BS,672896,5489228,11,bait pile disturbed,14,0000,2007-06-15,A.  Lorincz,1,15120-9t,M-URAR,HA,T,t,N,M-URAR,DNA,15120-9t,sample;,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,15A,15A,SAMPLE STATION,15,Set and checked by quad,HR-BA-BS,644010,5483985,11,,14,0000,2007-06-16,J.  Minifie,1,14769-1x,,HA,W,x,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,15A,15A,SAMPLE STATION,15,Set and checked by quad,HR-BA-BS,644010,5483985,11,,14,0000,2007-06-16,J.  Minifie,1,14769-2v,,HA,G,v,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,15A,15A,SAMPLE STATION,15,Set and checked by quad,HR-BA-BS,644010,5483985,11,,14,0000,2007-06-16,J.  Minifie,1,14769-3v,,HA,G,v,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,15A,15A,SAMPLE STATION,15,Set and checked by quad,HR-BA-BS,644010,5483985,11,,14,0000,2007-06-16,J.  Minifie,1,14769-4s,,HA,P,s,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,16A,16A,SAMPLE STATION,16,Set and checked by quad,HR-BA-BS,651835,5484453,11,,14,0000,2007-06-16,J.  Minifie,1,14770-1x,,HA,W,x,N,M-URAM,VI,,Xspecies;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,16A,16A,SAMPLE STATION,16,Set and checked by quad,HR-BA-BS,651835,5484453,11,,14,0000,2007-06-16,J.  Minifie,1,14770-2v,M-URAR,HA,G,v,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,16A,16A,SAMPLE STATION,16,Set and checked by quad,HR-BA-BS,651835,5484453,11,,14,0000,2007-06-16,J.  Minifie,1,14770-3x,,HA,W,x,N,MAMMALIA,,,Xspecies;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,17A,17A,SAMPLE STATION,17,Set by helicopter and checked by truck,HR-BA-BS,659450,5484998,11,,18,0000,2007-06-21,R.  Munro,0,,,,,,,NULL,,,,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-2x,M-URAR,HA,W,x,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-3x,M-URAR,HA,W,x,N,M-URAR,DNA,Carlos,sample; Animal ID in 2007 was 15121-3x,M
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-4a,M-URAR,HA,W,a,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-5a,M-URAR,HA,W,a,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-6a,M-URAR,HA,W,a,N,MAMMALIA,,,unextracted;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-7b,M-URAR,HA,W,b,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-8b,M-URAR,HA,W,b,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-9x,M-URAR,HA,W,x,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-10x,M-URAR,HA,W,x,N,M-URAR,DNA,79350,sample; Animal ID in 2007 was 15044-2a,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-11c,M-URAR,HA,W,c,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-12c,M-URAR,HA,W,c,N,MAMMALIA,,,unextracted;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-13d,M-URAM,HA,W,d,N,MAMMALIA,,,unextracted;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-14d,M-URAM,HA,W,d,N,MAMMALIA,,,Xinadequate;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-15d,M-URAM,HA,W,d,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-16x,M-URAR,HA,W,x,N,M-URAR,DNA,79350,sample; Animal ID in 2007 was 15044-2a,F
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-1x,M-URAR,HA,W,x,N,M-URAR,DNA,4875,sample; Animal ID in 2007 was 15121-18t,M
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-17x,M-URAM,HA,W,x,N,M-URAM,VI,,Xspecies;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-18t,M-URAR,HA,T,t,N,M-URAR,DNA,4875,sample; Animal ID in 2007 was 15121-18t,M
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,18A,18A,SAMPLE STATION,18,Set and checked by helicopter,HR-BA-BS,666061,5486123,11,bait pile disturbed; scat on way to site,14,0000,2007-06-15,A.  Lorincz,1,15121-19s,M-URAR,HA,P,s,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,24A,24A,SAMPLE STATION,24,Set and checked by quad,HR-BA-BS,644059,5473272,11,,18,0000,2007-06-21,J.  Minifie,0,,,,,,,NULL,,,,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,25A,25A,SAMPLE STATION,25,Set and checked by quad,HR-BA-BS,655533,5475620,11,,15,0000,2007-06-18,J.  Minifie,0,,,,,,,NULL,,,,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,26A,26A,SAMPLE STATION,26,Set by helicopter and checked by quad,HR-BA-BS,658708,5478072,11,,15,0000,2007-06-18,J.  Minifie,1,14775-1x,M-URAR,HA,W,x,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,26A,26A,SAMPLE STATION,26,Set by helicopter and checked by quad,HR-BA-BS,658708,5478072,11,,15,0000,2007-06-18,J.  Minifie,1,14775-2s,,HA,P,s,N,M-URAM,DNA,,Xblack;,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,27A,27A,SAMPLE STATION,27,Set and checked by helicopter,HR-BA-BS,666211,5475283,11,bait pile not disturbed,13,0000,2007-06-16,A.  Lorincz,0,,,,,,,NULL,,,,
2007 - Grizzly Bear - DNA-based Inventory - Flathead,Flathead,2007-06-12,FH2007 Session 1,,35A,35A,SAMPLE STATION,35,Set and checked by truck,HR-BA-BS,643993,5465761,11,,14,0000,2007-06-20,R.  Munro,0,,,,,,,NULL,,,,
