Project,Sample ID,HTorRT,Area,GBPU,Name/WGI_ID,Name/Apps/WGI,NEWIDS,HT_ID,NEW SITE ID,Site Name,Easting,Northing,Latitude,Longitude ,YR,MO,DY,Date,Session,Cell,HTs,RTs,ID,HIT,Individual,Sex,Note or Genetic Ancestry ,,,
Region-2005,52008a3,HT,Barkley,SN,Cod,Cod M70,Cod,40,,Reg-2005-8,544923,5595692,50.511466,-122.366422,2005,6,24,24-06-2005,2,8,15,0,M70,2,51016l1,M,,,,
Region-2005,52008b2,HT,Barkley,SN,Cod,Cod M70,Cod,40,,Reg-2005-8,544923,5595692,50.511466,-122.366422,2005,6,24,24-06-2005,2,8,15,0,M70,3,51016l1,M,,,,
Region-2005,52008c2,HT,Barkley,SN,Cod,Cod M70,Cod,40,,Reg-2005-8,544923,5595692,50.511466,-122.366422,2005,6,24,24-06-2005,2,8,15,0,M70,4,51016l1,M,,,,
Region-2005,52008d3,HT,Barkley,SN,Cod,Cod M70,Cod,40,,Reg-2005-8,544923,5595692,50.511466,-122.366422,2005,6,24,24-06-2005,2,8,15,0,M70,5,51016l1,M,,,,
Region-2005,53010f1,HT,Gott,SN,Scud,Scud M72,Scud,21,,Reg-2005-10,566008,5587781,50.438332,-122.070475,2005,7,7,7-07-2005,3,10,15,0,M72,1,54023a1,M,,,,
Region-2005,53010b1,HT,Gott,SN,Tex,Tex F68,Tex,21,,Reg-2005-10,566008,5587781,50.438332,-122.070475,2005,7,7,7-07-2005,3,10,15,0,F68,1,5SNSAGF3,F,,,,
Region-2005,53010c1,HT,Gott,SN,Tex,Tex F68,Tex,21,,Reg-2005-10,566008,5587781,50.438332,-122.070475,2005,7,7,7-07-2005,3,10,15,0,F68,2,5SNSAGF3,F,,,,
Region-2005,53023c1,HT,VanHorlick,SN,Vanessa,Vanessa F64,Vanessa,2,,Reg-2005-23,552151,5571915,50.297048,-122.267789,2005,7,7,7-07-2005,3,23,15,0,F64,1,55024d1,F,,,,
Region-2005,53009a1,HT,Melvin,SN,Cod,Cod M70,Cod,38,,Reg-2005-9,552747,5594669,50.501615,-122.256223,2005,7,7,7-07-2005,3,9,15,0,M70,1,51016l1,M,,,,
Region-2005,53009c1,HT,Melvin,SN,Cod,Cod M70,Cod,38,,Reg-2005-9,552747,5594669,50.501615,-122.256223,2005,7,7,7-07-2005,3,9,15,0,M70,2,51016l1,M,,,,
Region-2005,54010c1,HT,Gott,SN,Georgia,Georgia F60,Georgia,21,,Reg-2005-10,566008,5587781,50.438332,-122.070475,2005,7,19,19-07-2005,4,10,15,0,F60,1,54010c1,F,,,,
Region-2005,54010d1,HT,Gott,SN,Georgia,Georgia F60,Georgia,21,,Reg-2005-10,566008,5587781,50.438332,-122.070475,2005,7,19,19-07-2005,4,10,15,0,F60,2,54010c1,F,,,,
Region-2005,54010a1,HT,Gott,SN,Tex,Tex F68,Tex,21,,Reg-2005-10,566008,5587781,50.438332,-122.070475,2005,7,19,19-07-2005,4,10,15,0,F68,1,5SNSAGF3,F,,,,
Region-2005,54010b1,HT,Gott,SN,Tex,Tex F68,Tex,21,,Reg-2005-10,566008,5587781,50.438332,-122.070475,2005,7,19,19-07-2005,4,10,15,0,F68,2,5SNSAGF3,F,,,,
Region-2005,54016e1,HT,Blowdown,SN,Barkley ,Barkley M69,Barkley,13,,Reg-2005-16,553363,5582786,50.394698,-122.249240,2005,7,19,19-07-2005,4,16,15,0,M69,1,5SNRB8,M,,,,
Region-2005,54016h1,HT,Blowdown,SN,Barkley ,Barkley M69,Barkley,13,,Reg-2005-16,553363,5582786,50.394698,-122.249240,2005,7,19,19-07-2005,4,16,15,0,M69,2,5SNRB8,M,,,,
Region-2005,54016a1,HT,Blowdown,SN,Cod,Cod M70,Cod,13,,Reg-2005-16,553363,5582786,50.394698,-122.249240,2005,7,19,19-07-2005,4,16,15,0,M70,1,51016l1,M,,,,
Region-2005,54023a1,HT,VanHorlick,SN,Scud,Scud M72,Scud,2,,Reg-2005-23,552151,5571915,50.297048,-122.267789,2005,7,19,19-07-2005,4,23,15,0,M72,1,54023a1,M,,,,
Region-2005,54023g1,HT,VanHorlick,SN,Scud,Scud M72,Scud,2,,Reg-2005-23,552151,5571915,50.297048,-122.267789,2005,7,19,19-07-2005,4,23,15,0,M72,2,54023a1,M,,,,
Region-2005,54008a2,HT,Barkley,SN,Cod,Cod M70,Cod,40,,Reg-2005-8,544923,5595692,50.511466,-122.366422,2005,7,19,19-07-2005,4,8,15,0,M70,1,51016l1,M,,,,
Region-2005,54008b3,HT,Barkley,SN,Cod,Cod M70,Cod,40,,Reg-2005-8,544923,5595692,50.511466,-122.366422,2005,7,19,19-07-2005,4,8,15,0,M70,2,51016l1,M,,,,
Region-2005,55010c1,HT,Gott,SN,Tex,Tex F68,Tex,21,,Reg-2005-10,566008,5587781,50.438332,-122.070475,2005,7,29,29-07-2005,5,10,15,0,F68,1,5SNSAGF3,F,,,,
Region-2005,55018a1,HT,Texas,SN,Honda,Honda M63,Honda,24,,Reg-2005-18,572929,5588021,50.439665,-121.972992,2005,7,29,29-07-2005,5,18,15,0,M63,1,55018c1,M,,,,
Region-2005,55018c1,HT,Texas,SN,Honda,Honda M63,Honda,24,,Reg-2005-18,572929,5588021,50.439665,-121.972992,2005,7,29,29-07-2005,5,18,15,0,M63,2,55018c1,M,,,,
Region-2005,55018e1,HT,Texas,SN,Molly,Molly F73,Molly,24,,Reg-2005-18,572929,5588021,50.439665,-121.972992,2005,7,29,29-07-2005,5,18,15,0,F73,1,55018e1,F,,,,
Region-2005,55023a1,HT,VanHorlick,SN,Scud,Scud M72,Scud,2,,Reg-2005-23,552151,5571915,50.297048,-122.267789,2005,7,29,29-07-2005,5,23,15,0,M72,1,54023a1,M,,,,
Region-2005,55003b1,HT,Lost Valley,SN,Cod,Cod M70,Cod,53,,Reg-2005-3,546330,5599483,50.545449,-122.346106,2005,7,29,29-07-2005,5,3,15,0,M70,1,51016l1,M,,,,
Region-2005,5SNRB,PU,,SN,Vanessa,Vanessa F64,Vanessa,,,,,,,,2005,8,19,19-08-2005,0,X,,,F64,1,55024d1,F,"Stein-Nahatlatch Rub Tree or Bed - ""B-05-1"" - 554833, 5583059 - ",,,
Region-2005,5SNRB,PU,,SN,Vanessa,Vanessa F64,Vanessa,,,,,,,,2005,8,26,26-08-2005,0,X,,,F64,1,55024d1,F,"Stein-Nahatlatch Rub Tree or Bed - ""H-0511-1"" - 557278, 5579922 - ",,,
Region-2005,5SNRB,PU,,SN,Barkley ,Barkley M69,Barkley,,,,,,,,2005,10,1,1-10-2005,0,X,,,M69,1,5SNRB8,M,"Stein-Nahatlatch Rub Tree or Bed - ""H-0545-1"" - 549928, 5582241 - ",,,
Region-2006,6SNSA-GM3,C,Texas,SN,Dusky,Dusky M62,Dusky,,,,573031,5588365,50.442749,-121.971482,2006,5,18,18-05-2006,0,X,,,M62,1,54035c1,M,Dusky,,,
Region-2006,,C,Texas,SN,Tex,Tex F68,Tex,,,,,,,,2006,5,18,18-05-2006,0,X,,,F68,1,5SNSAGF3,F,"Stein-Nahatlatch Study Animal ""Tex""",,,
Region-2006,6SNSA-GF4,C,,SC,Burnadette,Burnadette F126,Burnadette,,,,,,,,2006,5,19,19-05-2006,0,X,,,F126,1,63024-a1,F,Burnadette,,,
Region-2006,6SNSA-GF6,C,,SC,Gillis,Gillis F141,Gillis,,,,,,,,2006,5,19,19-05-2006,0,X,,,F141,1,6SNSA-GF6,F,Gillis,,,
Region-2006,6SNSA-GF5,C,Whitecap,SC,Jasmine,Jasmine F108,Jasmine,,,,,,,,2006,5,19,19-05-2006,0,X,,,F108,1,61024-i1,F,Jasmine,,,
Region-2006,6SNSA-GM4,C,Whitecap,SC,Homer,Homer M122,Homer,,,,,,,,2006,5,20,20-05-2006,0,X,,,M122,1,62024-a2,M,Homer,,,
Region-2006,,C,Whitecap,SC,Marge,Marje F118,Marge,,,,,,,,2006,5,20,20-05-2006,0,X,,,F118,1,62014-d1,F,,,,
Region-2007,,C (W_HELP),VanHorlick,SN,Vanessa,Vanessa F64,Vanessa,,,,,,,,2006,5,20,20-05-2006,0,X,,,F64,1,55024d1,F,,,,
Region-2006,6SNSA-GM1,C,VanHorlick,SN,Cod,Cod M70,Cod,,,,547320,5580102,50.371080,-122.334586,2006,5,21,21-05-2006,0,X,,,M70,1,51016l1,M,Cod,,,
Region-2006,6SNSA-GM5,C,Texas,SN,Herman,Herman M140,Herman,,,,,,,,2006,5,21,21-05-2006,0,X,,,M140,1,6SNSA-GM5,M,Herman,,,
Region-2006,6SNSA-GM6,C,Texas,SN,Honda,Honda M63,Honda,,,,572969,5597638,50.526139,-121.970545,2006,5,21,21-05-2006,0,X,,,M63,1,55018c1,M,Honda,,,
Region-2006,61014-a1,HT,Whitecap Lake ,SC,BOB,BOB M125,BOB,113,,Reg-2006-14,541969,5622651,50.754117,-122.405025,2006,6,21,21-06-2006,1,14,20,,M125,1,63014-a3,M,,,,
Region-2006,61014-k1,HT,Whitecap Lake ,SC,64014-a1,F132,F132,113,,Reg-2006-14,541969,5622651,50.754117,-122.405025,2006,6,21,21-06-2006,1,14,20,,F132,1,64014-a1,F,,,,
Region-2006,61014-c1,HT,Whitecap Lake ,SC,61014-c1,M100,M100,113,,Reg-2006-14,541969,5622651,50.754117,-122.405025,2006,6,21,21-06-2006,1,14,20,,M100,1,61014-c1,M,,,,
Region-2006,61023-a1,HT,McGillvary,SC,61023-a1,F106,F106,78,,Reg-2006-23,531516,5609793,50.639150,-122.554307,2006,6,21,21-06-2006,1,23,20,,F106,1,61023-a1,F,,,,
Region-2006,61023-e1,HT,McGillvary,SC,61033-b1,F113,F113,78,,Reg-2006-23,531516,5609793,50.639150,-122.554307,2006,6,21,21-06-2006,1,23,20,,F113,1,61033-b1,F,,,,
Region-2006,61024-d1,HT,Whitecap ridge ,SC,Jasmine,Jasmine F108,Jasmine,102,,Reg-2006-24,543170,5617056,50.703717,-122.388658,2006,6,21,21-06-2006,1,24,20,,F108,1,61024-i1,F,,,,
Region-2006,61024-i1,HT,Whitecap ridge ,SC,Jasmine,Jasmine F108,Jasmine,102,,Reg-2006-24,543170,5617056,50.703717,-122.388658,2006,6,21,21-06-2006,1,24,20,,F108,2,61024-i1,F,,,,
Region-2006,61024-e2,HT,Whitecap ridge ,SC,Mike,Mike M107,Mike,102,,Reg-2006-24,543170,5617056,50.703717,-122.388658,2006,6,21,21-06-2006,1,24,20,,M107,1,61024-e2,M,,,,
Region-2006,61024-j1,HT,Whitecap ridge ,SC,61024-j1,Mikes BrotherM109,Mikes_brother,102,,Reg-2006-24,543170,5617056,50.703717,-122.388658,2006,6,21,21-06-2006,1,24,20,,M109,1,61024-j1,M,,,,
Region-2006,61030-a4,HT,Upper Birkinghead,SC,Hope,Hope F139,Hope,56,,Reg-2006-30,509605,5601740,50.567500,-122.864371,2006,6,21,21-06-2006,1,30,20,,F139,1,64038-c1,F,,,,
Region-2006,61030-f1,HT,Upper Birkinghead,SC,Huck,Huck M105,Huck,56,,Reg-2006-30,509605,5601740,50.567500,-122.864371,2006,6,21,21-06-2006,1,30,20,,M105,1,61021-b1,M,,,,
Region-2006,61030-d1,HT,Upper Birkinghead,SC,61030-d1,M112,M112,56,,Reg-2006-30,509605,5601740,50.567500,-122.864371,2006,6,21,21-06-2006,1,30,20,,M112,1,61030-d1,M,,,,
Region-2006,61030-c3,HT,Upper Birkinghead,SC,62038-g1,M123,M123,56,,Reg-2006-30,509605,5601740,50.567500,-122.864371,2006,6,21,21-06-2006,1,30,20,,M123,1,62038-g1,M,,,,
Region-2006,61033-b1,HT,Darcy Creek ,SC,61033-b1,F113,F113,63,,Reg-2006-33,532963,5604462,50.591133,-122.534324,2006,6,21,21-06-2006,1,33,20,,F113,1,61033-b1,F,,,,
Region-2006,61033-e1,HT,Darcy Creek ,SC,61033-b1,F113,F113,63,,Reg-2006-33,532963,5604462,50.591133,-122.534324,2006,6,21,21-06-2006,1,33,20,,F113,2,61033-b1,F,,,,
Region-2006,61033-g2,HT,Darcy Creek ,SC,61033-b1,F113,F113,63,,Reg-2006-33,532963,5604462,50.591133,-122.534324,2006,6,21,21-06-2006,1,33,20,,F113,3,61033-b1,F,,,,
Region-2006,61033-l1,HT,Darcy Creek ,SC,61033-b1,F113,F113,63,,Reg-2006-33,532963,5604462,50.591133,-122.534324,2006,6,21,21-06-2006,1,33,20,,F113,4,61033-b1,F,,,,
Region-2006,61021-b1,HT,Noel ,SC,Huck,Huck M105,Huck,89,,Reg-2006-21,515572,5614617,50.683173,-122.779581,2006,6,22,22-06-2006,1,21,20,,M105,1,61021-b1,M,,,,
Region-2006,61021-a2,HT,Noel ,SC,61021-a1,M104,M104,89,,Reg-2006-21,515572,5614617,50.683173,-122.779581,2006,6,22,22-06-2006,1,21,20,,M104,1,61021-a1,M,,,,
Region-2006,61031-a1,HT,Sockeye,SC,Huck,Huck M105,Huck,75,,Reg-2006-31,516335,5608095,50.624500,-122.769072,2006,6,22,22-06-2006,1,31,20,,M105,1,61021-b1,M,,,,
Region-2006,61031-c1,HT,Sockeye,SC,Huck,Huck M105,Huck,75,,Reg-2006-31,516335,5608095,50.624500,-122.769072,2006,6,22,22-06-2006,1,31,20,,M105,2,61021-b1,M,,,,
Region-2006,61031-d2,HT,Sockeye,SC,Huck,Huck M105,Huck,75,,Reg-2006-31,516335,5608095,50.624500,-122.769072,2006,6,22,22-06-2006,1,31,20,,M105,3,61021-b1,M,,,,
Monitoring & Misc 2006,HAY6-01-16c-a1,HT,Blowdown,SN,Cod,Cod M70,Cod,14,,,553517,5583251,50.398866,-122.247000,2006,6,24,24-06-2006,1,16c,20,,M70,1,51016l1,M,,,,
Monitoring & Misc 2006,HAY6-01-16c-e1,HT,Blowdown,SN,55039a1,M65,M65,14,,,553517,5583251,50.398866,-122.247000,2006,6,24,24-06-2006,1,16c,20,,M65,1,55039a1,M,,,,
Monitoring & Misc 2006,HAY6-01-16c-j1,HT,Blowdown,SN,55039a1,M65,M65,14,,,553517,5583251,50.398866,-122.247000,2006,6,24,24-06-2006,1,16c,20,,M65,2,55039a1,M,,,,
Region-2006,6RUB02A,PU,,SC,BOB,BOB M125,BOB,,,,,,,,2006,6,26,26-06-2006,0,X,,,M125,1,63014-a3,M,,,,
Region-2006,6RUB01A,PU,,SC,61021-a1,M104,M104,,,,,,,,2006,6,26,26-06-2006,0,X,,,M104,1,61021-a1,M,,,,
Region-2006,6RUB03A,PU,,SC,Huck,Huck M105,Huck,,,,,,,,2006,6,27,27-06-2006,0,X,,,M105,1,61021-b1,M,,,,
Region-2006,62038-g1,HT,Tenquille,SC,62038-g1,M123,M123,48,,Reg-2006-38,508518,5598388,50.537375,-122.879798,2006,7,3,3-07-2006,2,38,20,,M123,1,62038-g1,M,,,,
Region-2006,62014-a1,HT,Whitecap Lake ,SC,64014-a1,F132,F132,113,,Reg-2006-14,541969,5622651,50.754117,-122.405025,2006,7,4,4-07-2006,2,14,20,,F132,1,64014-a1,F,,,,
Region-2006,62014-d1,HT,Whitecap Lake ,SC,Marge,Marje F118,Marge,113,,Reg-2006-14,541969,5622651,50.754117,-122.405025,2006,7,4,4-07-2006,2,14,20,,F118,1,62014-d1,F,,,,
Region-2006,62021-a2,HT,Noel ,SC,Huck,Huck M105,Huck,89,,Reg-2006-21,515572,5614617,50.683173,-122.779581,2006,7,4,4-07-2006,2,21,20,,M105,1,61021-b1,M,,,,
Region-2006,62021-b1,HT,Noel ,SC,Huck,Huck M105,Huck,89,,Reg-2006-21,515572,5614617,50.683173,-122.779581,2006,7,4,4-07-2006,2,21,20,,M105,2,61021-b1,M,,,,
Region-2006,62022-a1,HT,Cadwallider,SC,62022-a1,M120,M120,96,,Reg-2006-22,523196,5616055,50.695850,-122.671573,2006,7,4,4-07-2006,2,22,20,,M120,1,62022-a1,M,,,,
Region-2006,62022-c1,HT,Cadwallider,SC,62022-d1,M121,M121,96,,Reg-2006-22,523196,5616055,50.695850,-122.671573,2006,7,4,4-07-2006,2,22,20,,M121,1,62022-d1,M,,,,
Region-2006,62022-d1,HT,Cadwallider,SC,62022-d1,M121,M121,96,,Reg-2006-22,523196,5616055,50.695850,-122.671573,2006,7,4,4-07-2006,2,22,20,,M121,2,62022-d1,M,,,,
Region-2006,62022-f1,HT,Cadwallider,SC,62022-d1,M121,M121,96,,Reg-2006-22,523196,5616055,50.695850,-122.671573,2006,7,4,4-07-2006,2,22,20,,M121,3,62022-d1,M,,,,
Region-2006,62023-d1,HT,McGillvary,SC,61023-a1,F106,F106,78,,Reg-2006-23,531516,5609793,50.639150,-122.554307,2006,7,4,4-07-2006,2,23,20,,F106,1,61023-a1,F,,,,
Region-2006,62024-a2,HT,Whitecap ridge ,SC,Homer,Homer M122,Homer,102,,Reg-2006-24,543170,5617056,50.703717,-122.388658,2006,7,4,4-07-2006,2,24,20,,M122,1,62024-a2,M,,,,
Region-2006,62024-b1,HT,Whitecap ridge ,SC,Jasmine,Jasmine F108,Jasmine,102,,Reg-2006-24,543170,5617056,50.703717,-122.388658,2006,7,4,4-07-2006,2,24,20,,F108,1,61024-i1,F,,,,
Region-2006,62024-c1,HT,Whitecap ridge ,SC,Jasmine,Jasmine F108,Jasmine,102,,Reg-2006-24,543170,5617056,50.703717,-122.388658,2006,7,4,4-07-2006,2,24,20,,F108,2,61024-i1,F,,,,
Region-2006,62024-h1,HT,Whitecap ridge ,SC,Jasmine,Jasmine F108,Jasmine,102,,Reg-2006-24,543170,5617056,50.703717,-122.388658,2006,7,4,4-07-2006,2,24,20,,F108,3,61024-i1,F,,,,
Region-2006,62024-i1,HT,Whitecap ridge ,SC,Homer,Homer M122,Homer,102,,Reg-2006-25,543170,5617056,50.703717,-122.388658,2006,7,4,4-07-2006,2,24,20,,M122,2,62024-a2,M,,,,
Region-2006,62030-b1,HT,Upper Birkinghead,SC,Hope,Hope F139,Hope,56,,Reg-2006-30,509605,5601740,50.567500,-122.864371,2006,7,4,4-07-2006,2,30,20,,F139,1,64038-c1,F,,,,
Region-2006,62031-a1,HT,Sockeye,SC,61021-a1,M104,M104,75,,Reg-2006-31,516335,5608095,50.624500,-122.769072,2006,7,4,4-07-2006,2,31,20,,M104,1,61021-a1,M,,,,
Monitoring & Misc 2006,HAY6-02-8a-c1,HT,Barkley,SN,Barkley ,Barkley M69,Barkley,39,,,546389,5595156,50.506533,-122.345817,2006,7,8,8-07-2006,2,8a,20,,M69,1,5SNRB8,M,,,,
Monitoring & Misc 2006,HAY6-02-8a-d1,HT,Barkley,SN,Barkley ,Barkley M69,Barkley,39,,,546389,5595156,50.506533,-122.345817,2006,7,8,8-07-2006,2,8a,20,,M69,2,5SNRB8,M,,,,
Monitoring & Misc 2006,HAY6-02-8a-e1,HT,Barkley,SN,Barkley ,Barkley M69,Barkley,39,,,546389,5595156,50.506533,-122.345817,2006,7,8,8-07-2006,2,8a,20,,M69,3,5SNRB8,M,,,,
Monitoring & Misc 2006,HAY6-02-16c-b2,HT,Blowdown,SN,Breeze,Breeze F149,Breeze,14,,,553517,5583251,50.398866,-122.247000,2006,7,8,8-07-2006,2,16c,20,,F149,1,HAY6-02-16c-b2,F,,,,
Monitoring & Misc 2006,HAY6-02-15b-c2,HT,Cowman,SN,Cod,Cod M70,Cod,28,,,547892,5589339,50.454100,-122.325367,2006,7,8,8-07-2006,2,15b,20,,M70,1,51016l1,M,,,,
Monitoring & Misc 2006,HAY6-02-15b-e1,HT,Cowman,SN,Cod,Cod M70,Cod,28,,,547892,5589339,50.454100,-122.325367,2006,7,8,8-07-2006,2,15b,20,,M70,2,51016l1,M,,,,
Monitoring & Misc 2006,HAY6-02-8d-a1,HT,Barkley,SN,Cod,Cod M70,Cod,32,,,548156,5592902,50.486116,-122.321183,2006,7,8,8-07-2006,2,8d,20,,M70,1,51016l1,M,,,,
Monitoring & Misc 2006,HAY6-02-8d-c1,HT,Barkley,SN,Cod,Cod M70,Cod,32,,,548156,5592902,50.486116,-122.321183,2006,7,8,8-07-2006,2,8d,20,,M70,2,51016l1,M,,,,
Monitoring & Misc 2006,HAY6-02-16c-i1,HT,Blowdown,SN,55039a1,M65,M65,14,,,553517,5583251,50.398866,-122.247000,2006,7,8,8-07-2006,2,16c,20,,M65,1,55039a1,M,,,,
Monitoring & Misc 2006,HAY6-02-23c-b1,HT,VanHorlick,SN,Scud,Scud M72,Scud,3,,,552223,5572025,50.298033,-122.266767,2006,7,8,8-07-2006,2,23c,20,,M72,1,54023a1,M,,,,
Monitoring & Misc 2006,HAY6-02-23b-a1,HT,Blowdown,SN,Scud,Scud M72,Scud,6,,,555435,5578202,50.353283,-122.220767,2006,7,8,8-07-2006,2,23b,20,,M72,1,54023a1,M,,,,
Monitoring & Misc 2006,HAY6-02-23b-d1,HT,Blowdown,SN,Scud,Scud M72,Scud,6,,,555435,5578202,50.353283,-122.220767,2006,7,8,8-07-2006,2,23b,20,,M72,2,54023a1,M,,,,
Region-2006,6BED 3,PU,,SN,Tex,Tex F68,Tex,,,,,,,,2006,7,9,9-07-2006,0,X,,,F68,1,5SNSAGF3,F,,,,
Region-2006,63030-a1,HT,Upper Birkinghead,SC,62038-g1,M123,M123,56,,Reg-2006-30,509605,5601740,50.567500,-122.864371,2006,7,14,14-07-2006,3,30,20,,M123,1,62038-g1,M,,,,
Region-2006,63030-b1,HT,Upper Birkinghead,SC,62038-g1,M123,M123,56,,Reg-2006-30,509605,5601740,50.567500,-122.864371,2006,7,14,14-07-2006,3,30,20,,M123,2,62038-g1,M,,,,
Region-2006,63038-b1,HT,Tenquille,SC,62038-g1,M123,M123,48,,Reg-2006-38,508518,5598388,50.537375,-122.879798,2006,7,14,14-07-2006,3,38,20,,M123,1,62038-g1,M,,,,
Region-2006,63014-a4,HT,Whitecap Lake ,SC,BOB,BOB M125,BOB,113,,Reg-2006-14,541969,5622651,50.754117,-122.405025,2006,7,17,17-07-2006,3,14,20,,M125,1,63014-a3,M,,,,
Region-2006,63021-a1,HT,Noel ,SC,Huck,Huck M105,Huck,89,,Reg-2006-21,515572,5614617,50.683173,-122.779581,2006,7,17,17-07-2006,3,21,20,,M105,1,61021-b1,M,,,,
Region-2006,63021-b1,HT,Noel ,SC,Huck,Huck M105,Huck,89,,Reg-2006-21,515572,5614617,50.683173,-122.779581,2006,7,17,17-07-2006,3,21,20,,M105,2,61021-b1,M,,,,
Region-2006,63023-c1,HT,McGillvary,SC,62022-a1,M120,M120,78,,Reg-2006-23,531516,5609793,50.639150,-122.554307,2006,7,17,17-07-2006,3,23,20,,M120,1,62022-a1,M,,,,
Region-2006,63023-a1,HT,McGillvary,SC,62022-d1,M121,M121,78,,Reg-2006-23,531516,5609793,50.639150,-122.554307,2006,7,17,17-07-2006,3,23,20,,M121,1,62022-d1,M,,,,
Region-2006,63023-b1,HT,McGillvary,SC,62022-d1,M121,M121,78,,Reg-2006-23,531516,5609793,50.639150,-122.554307,2006,7,17,17-07-2006,3,23,20,,M121,2,62022-d1,M,,,,
Region-2006,63024-b2,HT,Whitecap ridge ,SC,Jasmine,Jasmine F108,Jasmine,102,,Reg-2006-26,543170,5617056,50.703717,-122.388658,2006,7,17,17-07-2006,3,24,20,,F108,1,61024-i1,F,,,,
Region-2006,63024-a1,HT,Whitecap ridge ,SC,Burnadette,Burnadette F126,Burnadette,102,,Reg-2006-27,543170,5617056,50.703717,-122.388658,2006,7,17,17-07-2006,3,24,20,,F126,1,63024-a1,F,,,,
Region-2006,63024-f1,HT,Whitecap ridge ,SC,63024-f1,F127,F127,102,,Reg-2006-28,543170,5617056,50.703717,-122.388658,2006,7,17,17-07-2006,3,24,20,,F127,1,63024-f1,F,,,,
Region-2006,63033-b1,HT,Darcy Creek ,SC,61023-a1,F106,F106,63,,Reg-2006-33,532963,5604462,50.591133,-122.534324,2006,7,17,17-07-2006,3,33,20,,F106,1,61023-a1,F,,,,
