Sample ID,Class,Individual,Project,Site#,Site Name,Session,Field Sp.,,#G,#U,Left,Vis. Sp.,Comments,,# loci,G10J,G10B,G1D,G10H,G10M,Mu50,G10P,G1A,G10C,G10L,G10U,G10X,CXX20,CXX110,Mu59,Psib
10655x,Xblack,,w9845a,5,5-Mile North,A,,,5,,C,u,,,1,197.205,,,,,,,,,,,,,,,
10655y,Xblack,,w9845a,5,5-Mile North,A,,,2,15,C,u,,,1,197.205,,,,,,,,,,,,,,,
10662a,Xinadequate,,w9845a,5,5-Mile North,B,,,,,,,1 uf,,0,,,,,,,,,,,,,,,,
10662b,Xinadequate,,w9845a,5,5-Mile North,B,,,,,,,no root,,0,,,,,,,,,,,,,,,,
10662c,Xblack,,w9845a,5,5-Mile North,B,,,,12,C,u,,,1,203.209,,,,,,,,,,,,,,,
10662d,Xblack,,w9845a,5,5-Mile North,B,,,,8,C,u,,,1,203.209,,,,,,,,,,,,,,,
1.07E+05,unextracted,,w9845a,5,5-Mile North,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10662f1,Xblack,,w9845a,5,5-Mile North,B,,,,6,C,u,,,0,97.01.03.07.209,,,,,,,,,,,,,,,
10662g1,unextracted,,w9845a,5,5-Mile North,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10662h1,unextracted,,w9845a,5,5-Mile North,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10662ii1,Xblack,,w9845a,5,5-Mile North,B,,,,5,C,u,,,1,203.209,,,,,,,,,,,,,,,
10662j2,unextracted,,w9845a,5,5-Mile North,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10662k2,Xblack,,w9845a,5,5-Mile North,B,,,10,,A,g,,,1,201.209,,,,,,,,,,,,,,,
10662l2,unextracted,,w9845a,5,5-Mile North,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10662m,Xblack,,w9845a,5,5-Mile North,B,,,,25,A,u,,,1,203.209,,,,,,,,,,,,,,,
10668a,Xbomb,,w9845a,5,5-Mile North,C,,,1,,C,u,"used whole hair, as it appeared to have pieces of dander on it.",,0,,,,,,,,,,,,,,,,
10668b,Xblack,,w9845a,5,5-Mile North,C,,,10,,A,g,blonde,,1,197.205,,,,,,,,,,,,,,,
10668c,Xblack,,w9845a,5,5-Mile North,C,,,9,,C,u,prob. bb,,1,203.209,,,,,,,,,,,,,,,
10668d1,unextracted,,w9845a,5,5-Mile North,C,,,,,,,,,0,,,,,,,,,,,,,,,,
1.07E+05,Xblack,,w9845a,5,5-Mile North,C,,,2,15,C,u,,,1,197.205,,,,,,,,,,,,,,,
10668f1,unextracted,,w9845a,5,5-Mile North,C,,,,,,,,,0,,,,,,,,,,,,,,,,
10668g1,unextracted,,w9845a,5,5-Mile North,C,,,,,,,,,0,,,,,,,,,,,,,,,,
10668h1,Xblack,,w9845a,5,5-Mile North,C,,,4,20,C,u,could be gb,,1,197.205,,,,,,,,,,,,,,,
10668ii1,unextracted,,w9845a,5,5-Mile North,C,,,,,,,,,0,,,,,,,,,,,,,,,,
10668j1,Xblack,,w9845a,5,5-Mile North,C,,,1,8,C,u,,,0,97.205,,,,,,,,,,,,,,,
10677a1,unextracted,,w9845a,5,5-Mile North,D,,,,,,,,,0,,,,,,,,,,,,,,,,
10677b1,sample,10663c1,w9845a,5,5-Mile North,D,,,10,,A,u,,,7,186.186,158.162,175.181,231.252,210.214,130.138,149.151,,,,,,,,,0.005
10677c1,unextracted,,w9845a,5,5-Mile North,D,,,,,,,,,0,,,,,,,,,,,,,,,,
10677d1,Xblack,,w9845a,5,5-Mile North,D,,,1,,C,u,,,0,85.185,,,,,,,,,,,,,,,
1.07E+05,unextracted,,w9845a,5,5-Mile North,D,,,,,,,,,0,,,,,,,,,,,,,,,,
10677f2,Xinadequate,,w9845a,5,5-Mile North,D,,,,,,,envelope empty,,0,,,,,,,,,,,,,,,,
10677g2,unextracted,,w9845a,5,5-Mile North,D,,,,,,,,,0,,,,,,,,,,,,,,,,
10677h2,sample,10669a1,w9845a,5,5-Mile North,D,,,10,,B,u,"shrivelled roots, some white tips",,7,186.19,162.162,181.184,227.231,210.214,130.138,151.151,,,,,,,,,0.009
10677ii,Xblack,,w9845a,5,5-Mile North,D,,,10,,A,u,cl7/7/2006,,1,197.205,,,,,,,,,,,,,,,
10677j3,unextracted,,w9845a,5,5-Mile North,D,,,,,,,,,0,,,,,,,,,,,,,,,,
10677k3,Xblack,,w9845a,5,5-Mile North,D,,,1,,C,u,added 2 shafts,,0,95.195,,,,,,,,,,,,,,,
10656a1,unextracted,,w9845a,11,5-Mile South,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10656b1,Xblack,,w9845a,11,5-Mile South,A,,,,15,C,u,,,1,201.205,,,,,,,,,,,,,,,
10656c1,unextracted,,w9845a,11,5-Mile South,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10656d1,Xbomb,,w9845a,11,5-Mile South,A,,,1,,C,u,,,0,,,,,,,,,,,,,,,,
10656e,Xblack,,w9845a,11,5-Mile South,A,,,10,,A,u,,,1,201.205,,,,,,,,,,,,,,,
10656f,Xblack,,w9845a,11,5-Mile South,A,,,2,5,C,u,,,1,201.205,,,,,,,,,,,,,,,
10656g2,unextracted,,w9845a,11,5-Mile South,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10656h2,Xblack,,w9845a,11,5-Mile South,A,,,10,,B,u,,,1,201.205,,,,,,,,,,,,,,,
10656ii,Xinadequate,,w9845a,11,5-Mile South,A,,,,,,,only 2 uf,,0,,,,,,,,,,,,,,,,
10661a1,Xblack,,w9845a,11,5-Mile South,B,,,7,12,C,u,could be gb,,1,197.205,,,,,,,,,,,,,,,
10661b1,unextracted,,w9845a,11,5-Mile South,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10661c2,Xblack,,w9845a,11,5-Mile South,B,,,10,,A,u,prob. gb,,1,197.205,,,,,,,,,,,,,,,
10661d2,unextracted,,w9845a,11,5-Mile South,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10661e,Xblack,,w9845a,11,5-Mile South,B,,,10,,A,u,prob. gb,,1,203.209,,,,,,,,,,,,,,,
10661f3,Xblack,,w9845a,11,5-Mile South,B,,,10,,A,g,,,1,197.205,,,,,,,,,,,,,,,
10661g3,unextracted,,w9845a,11,5-Mile South,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10661h,Xblack,,w9845a,11,5-Mile South,B,,,10,,B,u,prob. gb,,1,197.205,,,,,,,,,,,,,,,
10661ii,Xmixed,,w9845a,11,5-Mile South,B,,,7,,C,u,,,0,188.92.96,,,,,,,,,,,,,,,
10661j4,unextracted,,w9845a,11,5-Mile South,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10661k4,unextracted,,w9845a,11,5-Mile South,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10661l4,Xblack,,w9845a,11,5-Mile South,B,,,,15,C,u,,,1,203.209,,,,,,,,,,,,,,,
10661m2,unextracted,,w9845a,11,5-Mile South,B,,,,,,,originally called “on ground under c2” on envelope.,,0,,,,,,,,,,,,,,,,
10667a,Xblack,,w9845a,11,5-Mile South,C,,,3,2,C,u,,,1,203.209,,,,,,,,,,,,,,,
10667b1,unextracted,,w9845a,11,5-Mile South,C,,,,,,,,,0,,,,,,,,,,,,,,,,
10667c1,Xblack,,w9845a,11,5-Mile South,C,,,10,,A,u,prob. gb,,1,201.209,,,,,,,,,,,,,,,
10667d1,unextracted,,w9845a,11,5-Mile South,C,,,,,,,,,0,,,,,,,,,,,,,,,,
1.07E+05,Xblack,,w9845a,11,5-Mile South,C,,,1,,C,u,,,1,201.209,,,,,,,,,,,,,,,
10667f1,unextracted,,w9845a,11,5-Mile South,C,,,,,,,,,0,,,,,,,,,,,,,,,,
10667g,Xblack,,w9845a,11,5-Mile South,C,,,7,,C,u,prob. bb,,1,201.201,,,,,,,,,,,,,,,
10667h2,Xblack,,w9845a,11,5-Mile South,C,,,10,,A,u,blonde - prob. gb,,0,201.07.09,,,,,,,,,,,,,,,
10667ii2,unextracted,,w9845a,11,5-Mile South,C,,,,,,,,,0,,,,,,,,,,,,,,,,
10667j3,unextracted,,w9845a,11,5-Mile South,C,,,,,,,,,0,,,,,,,,,,,,,,,,
10667k3,unextracted,,w9845a,11,5-Mile South,C,,,,,,,,,0,,,,,,,,,,,,,,,,
10667l3,Xblack,,w9845a,11,5-Mile South,C,,,10,,A,u,blonde - prob. gb,,1,201.207,,,,,,,,,,,,,,,
10667m3,Xblack,,w9845a,11,5-Mile South,C,,,7,10,C,u,small roots,,1,201.207,,,,,,,,,,,,,,,
10673a,Xinadequate,,w9845a,11,5-Mile South,D,,,,,,,1 uf,,0,,,,,,,,,,,,,,,,
10673b,Xblack,,w9845a,11,5-Mile South,D,,,,,,,jet black root to tip,,0,,,,,,,,,,,,,,,,
10673c1,Xinadequate,,w9845a,11,5-Mile South,D,,,,,,,no root,,0,,,,,,,,,,,,,,,,
10673d1,Xblack,,w9845a,11,5-Mile South,D,,,,,,,jet black root to tip,,0,,,,,,,,,,,,,,,,
1.07E+05,Xblack,,w9845a,11,5-Mile South,D,,,,,,,jet black root to tip,,0,,,,,,,,,,,,,,,,
10673f,Xbomb,,w9845a,11,5-Mile South,D,,,1,,C,u,added 1 shaft,,0,,,,,,,,,,,,,,,,
10673g,Xblack,,w9845a,11,5-Mile South,D,,,,,,,jet black root to tip,,0,,,,,,,,,,,,,,,,
10673h,Xbomb,,w9845a,11,5-Mile South,D,,,10,,A,u,blonde,,0,,,,,,,,,,,,,,,,
10876a,Xblack,,w9845a,73,Alberta,A,bb,,,20,C,u,prob. bb,,1,199.201,,,,,,,,,,,,,,,
10876b1,Xbomb,,w9845a,73,Alberta,A,GB?,,1,,C,u,v.small root,,0,,,,,,,,,,,,,,,,
10876c1,Xinadequate,,w9845a,73,Alberta,A,GB?,,,,,,no root,,0,,,,,,,,,,,,,,,,
10876d2,unextracted,,w9845a,73,Alberta,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
1.09E+06,unextracted,,w9845a,73,Alberta,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10876f2,unextracted,,w9845a,73,Alberta,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10876g2,Xblack,,w9845a,73,Alberta,A,bb,,2,20,C,u,,,1,199.201,,,,,,,,,,,,,,,
10876h3,unextracted,,w9845a,73,Alberta,A,GB?,,,,,,,,0,,,,,,,,,,,,,,,,
10876ii3,Xblack,,w9845a,73,Alberta,A,GB?,,,25,B,g,,,0,195.03.09,,,,,,,,,,,,,,,
10876j,Xblack,,w9845a,73,Alberta,A,GB,,3,20,C,g,,,1,201.209,,,,,,,,,,,,,,,
10876k,unextracted,,w9845a,73,Alberta,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10876l,unextracted,,w9845a,73,Alberta,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10876m,Xblack,,w9845a,73,Alberta,A,bb,,,15,C,u,,,0,203.05,,,,,,,,,,,,,,,
10876n3,Xblack,,w9845a,73,Alberta,A,GB?,,,20,C,g,,,1,201.209,,,,,,,,,,,,,,,
10876o3,unextracted,,w9845a,73,Alberta,A,GB?,,,,,,,,0,,,,,,,,,,,,,,,,
10876q,unextracted,,w9845a,73,Alberta,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10876r,Xblack,,w9845a,73,Alberta,A,GB?,,,8,C,u,,,0,1.205,,,,,,,,,,,,,,,
10876s,Xblack,,w9845a,73,Alberta,A,GB,,5,,C,g,,,1,205.205,,,,,,,,,,,,,,,
10827a1,unextracted,,w9845a,73,Alberta,B,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10827b1,Xblack,,w9845a,73,Alberta,B,bb,,,20,C,u,prob. bb,,1,203.205,,,,,,,,,,,,,,,
10827c2,Xinadequate,,w9845a,73,Alberta,B,bb,,,,,,envelope empty,,0,,,,,,,,,,,,,,,,
10827d2,Xinadequate,,w9845a,73,Alberta,B,bb,,,,,,1 uf,,0,,,,,,,,,,,,,,,,
1.08E+07,unextracted,,w9845a,73,Alberta,B,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10827f3,Xblack,,w9845a,73,Alberta,B,bb,,,15,C,u,could be gb,,1,195.203,,,,,,,,,,,,,,,
10827g3,unextracted,,w9845a,73,Alberta,B,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10827h4,unextracted,,w9845a,73,Alberta,B,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10827ii4,Xblack,,w9845a,73,Alberta,B,GB?,,7,12,C,u,could be gb,,1,195.203,,,,,,,,,,,,,,,
10827j4,unextracted,,w9845a,73,Alberta,B,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10827k,Xblack,,w9845a,73,Alberta,B,bb,,,20,A,u,mixed dark & light; didn’t extract dark,,1,195.203,,,,,,,,,,,,,,,
10827l,Xblack,,w9845a,73,Alberta,B,bb,,,15,C,u,,,1,205.207,,,,,,,,,,,,,,,
10827m,Xblack,,w9845a,73,Alberta,B,bb,,,15,C,u,,,1,195.203,,,,,,,,,,,,,,,
10827n,Xinadequate,,w9845a,73,Alberta,B,bb,,,,,,envelope empty,,0,,,,,,,,,,,,,,,,
10827o,Xinadequate,,w9845a,73,Alberta,B,bb,,,,,,2 uf,,0,,,,,,,,,,,,,,,,
10827p,Xinadequate,,w9845a,73,Alberta,B,bb,,,,,,no roots,,0,,,,,,,,,,,,,,,,
10827q,Xinadequate,,w9845a,73,Alberta,B,bb,,,,,,no roots,,0,,,,,,,,,,,,,,,,
10726a,Xblack,,w9845a,73,Alberta,C,GB?,,2,3,C,u,blonde - possib. gb,,1,203.205,,,,,,,,,,,,,,,
10726b1,unextracted,,w9845a,73,Alberta,C,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10726c1,Xblack,,w9845a,73,Alberta,C,bb,,10,,A,u,prob. bb,,1,197.201,,,,,,,,,,,,,,,
10726d2,unextracted,,w9845a,73,Alberta,C,bb,,,,,,,,0,,,,,,,,,,,,,,,,
1.07E+06,unextracted,,w9845a,73,Alberta,C,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10726f2,Xblack,,w9845a,73,Alberta,C,bb,,10,,A,u,prob. bb,,1,197.201,,,,,,,,,,,,,,,
10726g,Xblack,,w9845a,73,Alberta,C,bb,,2,15,C,u,blonde - could be gb,,1,203.205,,,,,,,,,,,,,,,
10726h3,unextracted,,w9845a,73,Alberta,C,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10726ii3,Xblack,,w9845a,73,Alberta,C,bb,,10,,A,u,prob. bb,,1,197.201,,,,,,,,,,,,,,,
10726j,unextracted,,w9845a,73,Alberta,C,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10726k,Xblack,,w9845a,73,Alberta,C,bb,,2,15,C,u,prob. bb,,1,197.201,,,,,,,,,,,,,,,
10726l,Xblack,,w9845a,73,Alberta,C,bb,,10,,A,u,blonde - prob. gb,,1,195.203,,,,,,,,,,,,,,,
10726m,unextracted,,w9845a,73,Alberta,C,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10774a1,Xinadequate,,w9845a,73,Alberta,D,bb,,,,,,no root,,0,,,,,,,,,,,,,,,,
10774b1,Xblack,,w9845a,73,Alberta,D,bb,,1,,C,u,,,1,205.205,,,,,,,,,,,,,,,
10774c,Xblack,,w9845a,73,Alberta,D,bb,,1,,C,u,,,0,201.07.09,,,,,,,,,,,,,,,
10774d2,unextracted,,w9845a,73,Alberta,D,unk,,,,,,,,0,,,,,,,,,,,,,,,,
1.08E+06,Xblack,,w9845a,73,Alberta,D,unk,,6,,C,u,,,1,201.209,,,,,,,,,,,,,,,
10774f2,unextracted,,w9845a,73,Alberta,D,unk,,,,,,,,0,,,,,,,,,,,,,,,,
10774g,Xblack,,w9845a,73,Alberta,D,bb,,10,,A,u,,,0,85.87.95.05.203,,,,,,,,,,,,,,,
10774h,Xinadequate,,w9845a,73,Alberta,D,bb,,,,,,no root,,0,,,,,,,,,,,,,,,,
10657a1,unextracted,,w9845a,10,Anderson Creek,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10657b1,unextracted,,w9845a,10,Anderson Creek,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10657c1,Xblack,,w9845a,10,Anderson Creek,A,,,5,20,B,u,,,1,201.205,,,,,,,,,,,,,,,
10657d2,unextracted,,w9845a,10,Anderson Creek,A,,,,,,,,,0,,,,,,,,,,,,,,,,
1.07E+06,unextracted,,w9845a,10,Anderson Creek,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10657f2,Xblack,,w9845a,10,Anderson Creek,A,,,10,,A,u,prob. bb,,1,201.205,,,,,,,,,,,,,,,
10657g3,unextracted,,w9845a,10,Anderson Creek,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10657h3,Xblack,,w9845a,10,Anderson Creek,A,,,4,20,B,u,,,1,201.205,,,,,,,,,,,,,,,
10657ii,Xblack,,w9845a,10,Anderson Creek,A,,,1,,C,u,,,1,201.205,,,,,,,,,,,,,,,
10659a,Xblack,,w9845a,10,Anderson Creek,B,,,,8,C,u,,,1,201.205,,,,,,,,,,,,,,,
10669a1,sample,10669a1,w9845a,10,Anderson Creek,C,,,10,,A,g,white-tipped,,7,186.19,162.162,181.184,227.231,210.214,130.138,151.151,,,,,,,,,0.009
10669b1,unextracted,,w9845a,10,Anderson Creek,C,,,,,,,,,0,,,,,,,,,,,,,,,,
10669c2,unextracted,,w9845a,10,Anderson Creek,C,,,,,,,,,0,,,,,,,,,,,,,,,,
10669d2,unextracted,,w9845a,10,Anderson Creek,C,,,,,,,,,0,,,,,,,,,,,,,,,,
1.07E+06,sample,10669a1,w9845a,10,Anderson Creek,C,,,10,,A,u,could be gb,,7,186.19,162.162,181.184,227.231,210.214,130.138,151.151,,,,,,,,,0.009
10676a1,unextracted,,w9845a,10,Anderson Creek,D,,,,,,,,,0,,,,,,,,,,,,,,,,
10676b1,sample,10663c1,w9845a,10,Anderson Creek,D,,,10,,A,u,,,7,186.186,158.162,175.181,231.252,210.214,130.138,149.151,,,,,,,,,0.005
10676c,Xbomb,,w9845a,10,Anderson Creek,D,,,10,,B,u,used pitchy clump -might not work,,5,186.186,158.162,75.81,231.252,210.214,130.138,,,,,,,,,,
10953a1,Xblack,,w9845a,29,Avalanche Cr.,A,,,10,,A,u,pale,,1,201.209,,,,,,,,,,,,,,,
10953b1,unextracted,,w9845a,29,Avalanche Cr.,A,,,,,,,,,0,,,,,,,,,,,,,,,,
10953c2,unextracted,,w9845a,29,Avalanche Cr.,A,,,,,,,pale,,0,,,,,,,,,,,,,,,,
10953d2,Xblack,,w9845a,29,Avalanche Cr.,A,,,4,20,A,u,pale,,1,201.209,,,,,,,,,,,,,,,
10993a1,unextracted,,w9845a,29,Avalanche Cr.,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10993b1,Xblack,,w9845a,29,Avalanche Cr.,B,,,10,,A,u,prob. bb,,1,207.209,,,,,,,,,,,,,,,
10993c2,unextracted,,w9845a,29,Avalanche Cr.,B,,,,,,,,,0,,,,,,,,,,,,,,,,
10993d2,Xblack,,w9845a,29,Avalanche Cr.,B,,,,8,C,u,,,1,207.209,,,,,,,,,,,,,,,
10935a,sample,10981a,w9845a,29,Avalanche Cr.,D,,,1,,C,u,,,7,190.19,162.162,181.183,227.227,214.214,120.138,151.151,,,,,,,,,0.004
10871a1,sample,10714a1,w9845a,42,Baby Bears,A,GB,,10,,A,g,,,7,186.19,158.162,181.184,227.252,210.21,130.138,151.151,,,,,,,,,0.008
10871b1,unextracted,,w9845a,42,Baby Bears,A,GB,,,,,,,,0,,,,,,,,,,,,,,,,
10871c1,unextracted,,w9845a,42,Baby Bears,A,GB,,,,,,,,0,,,,,,,,,,,,,,,,
10871d2,unextracted,,w9845a,42,Baby Bears,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
1.09E+06,Xblack,,w9845a,42,Baby Bears,A,bb,,10,,A,u,,,1,191.203,,,,,,,,,,,,,,,
10821a,Xblack,,w9845a,42,Baby Bears,B,bb,,2,3,C,u,v. small roots,,1,191.203,,,,,,,,,,,,,,,
10821b,Xinadequate,,w9845a,42,Baby Bears,B,bb,,,,,,no root,,0,,,,,,,,,,,,,,,,
10821c,Xblack,,w9845a,42,Baby Bears,B,unk,,1,,C,u,v. smal root,,0,87.207,,,,,,,,,,,,,,,
10821d,Xinadequate,,w9845a,42,Baby Bears,B,unk,,,,,,envelope empty,,0,,,,,,,,,,,,,,,,
10821e,sample,10821e,w9845a,42,Baby Bears,B,GB?,,1,,C,u,,,7,186.192,144.162,183.184,227.231,210.21,120.122,149.151,,,,,,,,,0.004
10770a,sample,10966a,w9845a,42,Baby Bears,D,GB,,3,,C,u,,,7,186.192,162.162,174.184,227.231,210.21,122.13,151.151,,,,,,,,,0.008
10770b,sample,10966a,w9845a,42,Baby Bears,D,GB,,2,,C,u,,,7,186.192,162.162,174.184,227.231,210.21,122.13,151.151,,,,,,,,,0.008
10770c,Xinadequate,,w9845a,42,Baby Bears,D,GB,,,,,,no root,,0,,,,,,,,,,,,,,,,
10770d1,sample,10966a,w9845a,42,Baby Bears,D,GB,,10,,A,g,white-tipped,,7,186.192,162.162,174.184,227.231,210.21,122.13,151.151,,,,,,,,,0.008
1.08E+05,unextracted,,w9845a,42,Baby Bears,D,GB,,,,,,,,0,,,,,,,,,,,,,,,,
10770f1,unextracted,,w9845a,42,Baby Bears,D,unk,,,,,,,,0,,,,,,,,,,,,,,,,
10889a,unextracted,,w9845a,70,Bayonne,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10889b,Xblack,,w9845a,70,Bayonne,A,bb,,2,20,C,u,prob. bb,,1,201.209,,,,,,,,,,,,,,,
10889c1,unextracted,,w9845a,70,Bayonne,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10889d1,unextracted,,w9845a,70,Bayonne,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
1.09E+05,Xblack,,w9845a,70,Bayonne,A,bb,,,25,A,u,,,1,187.205,,,,,,,,,,,,,,,
10889f2,unextracted,,w9845a,70,Bayonne,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10889g2,unextracted,,w9845a,70,Bayonne,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10889h2,Xblack,,w9845a,70,Bayonne,A,bb,,,25,A,u,,,1,187.205,,,,,,,,,,,,,,,
10889ii2,Xblack,,w9845a,70,Bayonne,A,bb,,,15,C,u,,,1,205.209,,,,,,,,,,,,,,,
10889j3,unextracted,,w9845a,70,Bayonne,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10889k3,Xblack,,w9845a,70,Bayonne,A,bb,,,25,B,u,pale fur,,1,195.201,,,,,,,,,,,,,,,
10889l4,Xblack,,w9845a,70,Bayonne,A,bb,,10,,A,,pale fur,,1,187.205,,,,,,,,,,,,,,,
10889m4,unextracted,,w9845a,70,Bayonne,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10840a,Xinadequate,,w9845a,70,Bayonne,B,unk,,,,,,no root,,0,,,,,,,,,,,,,,,,
10840b1,unextracted,,w9845a,70,Bayonne,B,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10840c1,Xblack,,w9845a,70,Bayonne,B,bb,,10,,C,u,,,1,187.205,,,,,,,,,,,,,,,
10840d,Xblack,,w9845a,70,Bayonne,B,unk,,,25,B,u,,,0,87.03.05.199,,,,,,,,,,,,,,,
10840e,Xblack,,w9845a,70,Bayonne,B,bb,,,10,C,u,,,1,199.203,,,,,,,,,,,,,,,
10738a1,sample,10738a1,w9845a,70,Bayonne,C,GB,,10,,A,u,blonde- could be gb,,15,186.19,150.16,180.184,231.251,196.21,138.138,151.153,184.198,205.211,155.157,163.163,141.141,127.129,149.149,223.223,0.001
10738b1,unextracted,,w9845a,70,Bayonne,C,GB,,,,,,,,0,,,,,,,,,,,,,,,,
10738c2,Xblack,,w9845a,70,Bayonne,C,bb,,10,,A,u,prob. bb,,1,199.205,,,,,,,,,,,,,,,
10738d2,unextracted,,w9845a,70,Bayonne,C,bb,,,,,,,,0,,,,,,,,,,,,,,,,
1.07E+07,unextracted,,w9845a,70,Bayonne,C,GB,,,,,,,,0,,,,,,,,,,,,,,,,
10738f3,unextracted,,w9845a,70,Bayonne,C,GB,,,,,,,,0,,,,,,,,,,,,,,,,
10738g3,sample,10738a1,w9845a,70,Bayonne,C,GB,,10,,A,u,light brown - maybe gb,,7,186.19,150.16,180.184,231.251,196.21,138.138,151.153,,,,,,,,,0.001
10852a1,unextracted,,w9845a,38,Bear Grass,A,bb,,,,,,,,0,,,,,,,,,,,,,,,,
10852b1,unextracted,,w9845a,38,Bear Grass,A,GB?,,,,,,,,0,,,,,,,,,,,,,,,,
