Project,Sample ID,HTorRT,Area,Hair trap zone,GBPU,Name/WGI_ID,Name/Apps/WGI,NEWIDS,HTorRT,HT_ID,pooled RTs,Site Name,Northing,Easting,Latitude,Long ,YR,MO,DY,Session,Cell,HTs,RTs,ID,HIT,Individual,Sex,Note or Genetic Ancestry ,,,,
Lillooet Study 2011,Ht U birkenhead-170811-2,HT,Upper Birkinghead,MIDDLE,SC,Walnut,Walnut F382,Walnut,HT,60,,HT Birkenhead Bridge Heli,5601863,509662,50.5686,-122.8636,2011,8,17,2,,9,16,F382,2,Ht U birkenhead-170811-2,F,,,,,
Lillooet Study 2011,Ht U birkenhead-170811-2,HT,Upper Birkinghead,MIDDLE,SC,Walnut,Walnut F382,Walnut,HT,60,,HT Birkenhead Bridge Heli,5601863,509662,50.5686,-122.8636,2011,8,17,2,,9,16,F382,3,Ht U birkenhead-170811-2,F,,,,,
Lillooet Study 2011,Ht U birkenhead-170811-4,HT,Upper Birkinghead,MIDDLE,SC,Walnut,Walnut F382,Walnut,HT,60,,HT Birkenhead Bridge Heli,5601863,509662,50.5686,-122.8636,2011,8,17,2,,9,16,F382,4,Ht U birkenhead-170811-2,F,,,,,
Lillooet Study 2011,Ht Ubirkenhead160911-1,HT,Upper Birkinghead,MIDDLE,SC,62038-g1,M123,M123,HT,60,,HT Birkenhead Bridge Heli,5601863,509662,50.5686,-122.8636,2011,9,16,3,,9,17,M123,1,62038-g1,M,,,,,
,,,,,,,,NONE,HT,,,HT Birkinghead 2010,5597766,512822,50.5317,-122.8191,2010,6,16,1,,,,,,,,,,,,
Lillooet Study 2010,DNA15-3-2,HT,Tenquille,MIDDLE,SC,Hope,Hope F139,Hope,HT,47,,HT Birkinghead 2010,5597766,512822,50.5317,-122.8191,2010,8,10,2,,9,2,F139,1,64038-c1,F,DNA Grid,,,,
Lillooet Study 2010,DNA15-3-1,HT,Tenquille,MIDDLE,SC,62038-g1,M123,M123,HT,47,,HT Birkinghead 2010,5597766,512822,50.5317,-122.8191,2010,8,10,2,,9,2,M123,1,62038-g1,M,DNA Grid,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2012,7,11,1,,,,,,,,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2012,7,26,2,,,,,,,,,,,,
Lillooet Study 2012,HT Blowdown 2-60912-1,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,8,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2012,9,6,3,,11,10,F319,1,LC7-00-Plots-k1,F,SN,Bella,,250.250,Stein
Lillooet Study 2012,HT Blowdown 2-60912-2b,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,8,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2012,9,6,3,,11,10,F319,2,LC7-00-Plots-k1,F,SN,Bella,,250.250,Stein
,,,,,,,,NONE,,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2013,7,10,1,,,,,,,,,,,,
Lillooet Study 2013,HT Blwdn2-230713-1,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,8,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2013,7,23,2,,11,7,F319,1,LC7-00-Plots-k1,F,Stein,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2013,8,23,3,,,,,,,,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,6,10,1,,,,,,,,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,7,1,2,,,,,,,,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,7,16,3,,,,,,,,,,,,
Lillooet Study 2014,HT Blowdown 2-190814-1,HT,Blowdown,DUFFEY,SN,Jim,Jim M239,Jim,HT,8,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,8,19,4,,20,20,M239,1,NAH7-02-31-c1,M,,,,,
Lillooet Study 2014,HT Blowdown 2-190814-2,HT,Blowdown,DUFFEY,SN,Jim,Jim M239,Jim,HT,8,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,8,19,4,,20,20,M239,2,NAH7-02-31-c1,M,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2,5579367,559129,50.3634,-122.1687,2014,9,28,5,,,,,,,,,,,,
Lillooet Study 2010,DNA09-1A,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,F319,1,LC7-00-Plots-k1,F,DNA Grid,,,,
Lillooet Study 2010,DNA09-2B,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,F319,2,LC7-00-Plots-k1,F,DNA Grid,,,,
Lillooet Study 2010,DNA09-5,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,F319,3,LC7-00-Plots-k1,F,DNA Grid,,,,
Lillooet Study 2010,DNA09-6B,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,F319,4,LC7-00-Plots-k1,F,DNA Grid,,,,
Lillooet Study 2010,DNA09-7A,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,F319,5,LC7-00-Plots-k1,F,DNA Grid,,,,
Lillooet Study 2010,DNA09-3B,HT,Blowdown,DUFFEY,SN,Herman,Herman M140,Herman,HT,16,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,7,1,,10,3,M140,1,6SNSA-GM5,M,DNA Grid,,,,
,,,,,,,,NONE,HT,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2010,7,27,2,,,,,,,,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2011,7,2,1,,,,,,,,,,,,
Lillooet Study 2011,HT Blowdown-260711-5c,HT,Blowdown,DUFFEY,SN,Scud,Scud M72,Scud,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2011,7,26,2,,11,9,M72,1,54023a1,M,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2011,8,24,3,,,,,,,,,,,,
Lillooet Study 2011,HT Blowdown190911-1B,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2011,9,19,4,,10,4,F319,1,LC7-00-Plots-k1,F,,,,,
Lillooet Study 2011,HT Blowdown190911-3,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2011,9,19,4,,10,4,F319,2,LC7-00-Plots-k1,F,,,,,
Lillooet Study 2012,HT Blowd 1-110712-1A,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2012,7,11,1,,16,10,F319,1,LC7-00-Plots-k1,F,SN,Bella,gb?,250.250,Stein
Lillooet Study 2012,HT Blowd 1-110712-4C,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2012,7,11,1,,16,10,F319,2,LC7-00-Plots-k1,F,SN,Bella,,250.250,Stein
,,,,,,,,NONE,,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2012,7,27,2,,,,,,,,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2012,9,6,3,,,,,,,,,,,,
Lillooet Study 2013,HT Bldwn 1-230613-2A,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,6,23,1,,18,9,F319,1,LC7-00-Plots-k1,F,Stein,,,,
Lillooet Study 2013,HT Bldwn 1-100713-1,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,F319,1,LC7-00-Plots-k1,F,Stein,,,,
Lillooet Study 2013,HT Bldwn 1-100713-2,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,F319,2,LC7-00-Plots-k1,F,Stein,,,,
Lillooet Study 2013,HT Bldwn 1-100713-3,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,F319,3,LC7-00-Plots-k1,F,Stein,,,,
Lillooet Study 2013,HT Bldwn 1-100713-4,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,F319,4,LC7-00-Plots-k1,F,Stein,,,,
Lillooet Study 2013,HT Bldwn 1-100713-5,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,F319,5,LC7-00-Plots-k1,F,Stein,,,,
Lillooet Study 2013,HT Bldwn 1-100713-7,HT,Blowdown,DUFFEY,SN,Jim,Jim M239,Jim,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,10,2,,17,9,M239,1,NAH7-02-31-c1,M,Stein,,,,
Lillooet Study 2013,HT Blwdn1-230713-P ,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2013,7,23,3,,11,7,F319,1,LC7-00-Plots-k1,F,Stein,,,,
Lillooet Study 2014,HT Blowdown 1-100614-1,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,6,10,1,,20,20,F319,1,LC7-00-Plots-k1,F,,,,,
Lillooet Study 2014,HT Blowdown 1-100614-2,HT,Blowdown,DUFFEY,SN,Jim,Jim M239,Jim,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,6,10,1,,20,20,M239,1,NAH7-02-31-c1,M,,,,,
Lillooet Study 2014,HT Blowdown 1-100614-3,HT,Blowdown,DUFFEY,SN,Jim,Jim M239,Jim,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,6,10,1,,20,20,M239,2,NAH7-02-31-c1,M,,,,,
Lillooet Study 2014,HT Blowdown 1-10714-1,HT,Blowdown,DUFFEY,SN,Jim,Jim M239,Jim,HT,15,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,7,1,2,,20,20,M239,1,NAH7-02-31-c1,M,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,7,16,3,,,,,,,,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,8,19,4,,,,,,,,,,,,
,,,,,,,,NONE,,,,Ht Blowdown 2010,5584114,554792,50.4065,-122.2289,2014,9,28,5,,,,,,,,,,,,
Lillooet Study 2014,HT Blowdown 2014-100614-2,HT,Blowdown,DUFFEY,SN,Bella,Bella F319,Bella,HT,12,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,6,10,1,,20,20,F319,1,LC7-00-Plots-k1,F,,,,,
Lillooet Study 2014,HT Blowdown 2014-100614-1,HT,Blowdown,DUFFEY,SN,Jim,Jim M239,Jim,HT,12,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,6,10,1,,20,20,M239,1,NAH7-02-31-c1,M,,,,,
,,,,,,,,NONE,,,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,7,1,2,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,7,16,3,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,8,19,4,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Blowdown 2014,5582727,555672,50.3940,-122.2168,2014,9,28,5,,,,,,,,,,,,
,,,,,,,,NONE,HT,,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2010,7,8,1,,,,,,,,,,,,
Lillooet Study 2010,DNA13-2,HT,Boulder,DUFFEY,SN,Jewel,Jewel F321,Jewel,HT,36,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2010,7,25,2,,10,3,F321,1,may2,F,DNA Grid,,,,
Lillooet Study 2010,DNA13-4-2,HT,Boulder,DUFFEY,SN,Jewel,Jewel F321,Jewel,HT,36,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2010,7,25,2,,10,3,F321,2,may2,F,DNA Grid,,,,
Lillooet Study 2010,DNA13-6-2,HT,Boulder,DUFFEY,SN,Jewel,Jewel F321,Jewel,HT,36,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2010,7,25,2,,10,3,F321,3,may2,F,DNA Grid,,,,
Lillooet Study 2010,DNA13-8,HT,Boulder,DUFFEY,SN,Jewel,Jewel F321,Jewel,HT,36,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2010,7,25,2,,10,3,F321,4,may2,F,DNA Grid,,,,
Lillooet Study 2014,HT Boulder E-290614-1,HT,Boulder,DUFFEY,SN,Georgia,Georgia F60,Georgia,HT,37,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2014,6,29,1,,20,20,F60,1,54010c1,F,,,,,
,,,,,,,,NONE,,,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2014,7,16,2,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2014,8,18,3,,,,,,,,,,,,
Lillooet Study 2012,Ht Boulder-200712-3,HT,Boulder,HELI,SN,Dallas,Dallas F381,Dallas,HT,34,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2012,7,20,1,,17,11,F381,1,HT Molly-260711-2a,F,SN,new  F 2011,,250.250,Stein
Lillooet Study 2012,Ht Boulder-200712-1,HT,Boulder,HELI,SN,Georgia,Georgia F60,Georgia,HT,34,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2012,7,20,1,,17,11,F60,1,54010c1,F,SN,Georgia,Georgia,250.250,Stein
Lillooet Study 2012,Ht Boulder-60812-1,HT,Boulder,HELI,SN,Molly,Molly F73,Molly,HT,34,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2012,8,6,2,,16,10,F73,1,55018e1,F,SN,Molly,Molly,250.250,Stein
Lillooet Study 2013,HT BldHel-190713-1A,HT,Boulder Heli,HELI,SN,Molly,Molly F73,Molly,HT,34,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2013,7,19,1,,18,9,F73,1,55018e1,F,Stein,,,,
Lillooet Study 2013,HT BldHel-190713-3B,HT,Boulder Heli,HELI,SN,Molly,Molly F73,Molly,HT,34,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2013,7,19,1,,18,9,F73,2,55018e1,F,Stein,,,,
,,,,,,,,NONE,,,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2013,7,29,2,,,,,,,,,,,,
,,,,,,,,NONE,,,,Ht Boulder W,5594200,568679,50.4957,-122.0317,2011,7,2,1,,,,,,,,,,,,
,,,,,,,,NONE,,,,Ht Boulder W,5594200,568679,50.4957,-122.0317,2011,7,26,2,,,,,,,,,,,,
Lillooet Study 2011,Ht Boulder -240811-2,HT,Boulder,DUFFEY,SN,Georgia,Georgia F60,Georgia,HT,35,,Ht Boulder W,5594200,568679,50.4957,-122.0317,2011,8,24,3,,10,9,F60,1,54010c1,F,,,,,
,,,,,,,,NONE,,,,Ht Boulder W,5594200,568679,50.4957,-122.0317,2011,9,19,4,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Cadwalider 2010,5618063,524372,50.713865,-122.654782,2010,7,1,1,,,,,,,,,,,,
,,,,,,,,NONE,,,,HT Cadwalider 2010,5618063,524372,50.713865,-122.654782,2010,7,20,2,,,,,,,,,,,,
Lillooet Study 2012,HT Cadw 2-170612-1,HT,Cadwallider,BRALORNE,SC,Barkley ,Barkley M69,Barkley,HT,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,6,17,1,,13,14,M69,1,5SNRB8,M,SC,,,204.250,Stein
Lillooet Study 2012,HT Cadw 2-170612-4,HT,Cadwallider,BRALORNE,SC,Barkley ,Barkley M69,Barkley,HT,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,6,17,1,,13,14,M69,2,5SNRB8,M,SC,,,204.250,Stein
Lillooet Study 2012,HT Cadw 2-170612-2,HT,Cadwallider,BRALORNE,SC,61021-a1,M104,M104,HT,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,6,17,1,,13,14,M104,1,61021-a1,M,SC,,,204.250,
Lillooet Study 2012,HT Cadw 3-140712-5,HT,Cadwallider,BRALORNE,SC,64004-a1,F130,F130,HT,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,7,14,2,,13,14,F130,1,64004-a1,F,SC,,,250.250,
Lillooet Study 2012,HT Cadw 3-140712-4,HT,Cadwallider,BRALORNE,SC,64004-f1,F131,F131,HT,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,7,14,2,,13,14,F131,1,64004-f1,F,SC,,,250.250,
Lillooet Study 2012,HT Cadw 3-20812-1C,HT,Cadwallider,BRALORNE,SC,Ht Mcgill N-260811-1f, F389,F389,HT,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,8,2,3,,7,13,F389,1,Ht Mcgill N-260811-1f,F,SC,,red,250.250,
Lillooet Study 2012,HT Cadw 3-20812-4,HT,Cadwallider,BRALORNE,SC,Ht Mcgill N-260811-1f, F389,F389,HT,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,8,2,3,,7,13,F389,2,Ht Mcgill N-260811-1f,F,SC,,,250.250,
Lillooet Study 2012,HT Cadw 3-20812-3,HT,Cadwallider,BRALORNE,SC,Phelix,Phelix F134,Phelix,HT,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,8,2,3,,7,13,F134,1,64021-e1,F,SC,,,250.250,
Lillooet Study 2012,HT Cadw 3-220912-3,HT,Cadwallider,BRALORNE,SC,61033-b1,F113,F113,HT,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,9,22,4,,7,13,F113,1,61033-b1,F,SC,,,250.250,
Lillooet Study 2012,HT Cadw 3-220912-1,HT,Cadwallider,BRALORNE,SC,Ht Mcgill N-260811-1a, M383,M383,HT,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,9,22,4,,7,13,M383,1,Ht Mcgill N-260811-1a,M,SC,,,204.250,
,,,,,,,,NONE,,,,HT Cadwalider 2010,5618063,524372,50.713865,-122.654782,2013,7,1,1,,,,,,,,,,,,
