DNA #,sub-sample,Temp ID,Perm ID,all data,all census,Species,Origin,Perm ID,,N/S of Hwy 1,E/W Col trench,Sex,Site,Session,Month,Day,Year,Month,Day,Year
3361,aa,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,ab,,298,,,Grizzly, WS 97 census,298,,,,M,71,1,6,27,1997,7,3,1997
3361,ac,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,ad,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,ae,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,af,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,ag,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,ah,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,ai,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,aj,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,ak,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,al,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,am,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,an,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,ao,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,aq,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,b,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,d,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,g,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,h,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,i,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,n,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,o,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,p,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,r,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,s,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,t,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,u,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,v,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,w,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,x,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,y,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3361,z,,298,,,Grizzly, WS 97 census,298,,,,,71,1,6,27,1997,7,3,1997
3425,a,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,c,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,e,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,g,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,j,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,k,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,m,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,n,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,q,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,r,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,t,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3425,v,,298,,,Grizzly, WS 97 census,298,,,,,71,2,7,3,1997,7,13,1997
3720,l,,298,,,Grizzly, WS 97 census,298,,,,,49,3,7,13,1997,7,24,1997
3725,i,,298,,,Grizzly, WS 97 census,298,,,,,57,3,7,13,1997,7,24,1997
3725,j,,298,,,Grizzly, WS 97 census,298,,,,,57,3,7,13,1997,7,24,1997
3725,k,,298,,,Grizzly, WS 97 census,298,,,,,57,3,7,13,1997,7,24,1997
3725,l,,298,,,Grizzly, WS 97 census,298,,,,,57,3,7,13,1997,7,24,1997
3725,o,,298,,,Grizzly, WS 97 census,298,,,,,57,3,7,13,1997,7,24,1997
3730,a,,298,,,Grizzly, WS 97 census,298,,,,,62,3,7,13,1997,7,24,1997
3730,m,,298,,,Grizzly, WS 97 census,298,,,,,62,3,7,13,1997,7,24,1997
3735,f,,298,,,Grizzly, WS 97 census,298,,,,,67,3,7,13,1997,7,24,1997
3735,g,,298,,,Grizzly, WS 97 census,298,,,,,67,3,7,13,1997,7,24,1997
3735,h,,298,,,Grizzly, WS 97 census,298,,,,,67,3,7,13,1997,7,24,1997
3735,j,,298,,,Grizzly, WS 97 census,298,,,,,67,3,7,13,1997,7,24,1997
3735,n,,298,,,Grizzly, WS 97 census,298,,,,,67,3,7,13,1997,7,24,1997
3735,p,,298,,,Grizzly, WS 97 census,298,,,,,67,3,7,13,1997,7,24,1997
3735,q,,298,,,Grizzly, WS 97 census,298,,,,,67,3,7,13,1997,7,24,1997
3739,b,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,e,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,g,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,h,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,i,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,j,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,k,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,m,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,n,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,o,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,p,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,q,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3739,s,,298,,,Grizzly, WS 97 census,298,,,,,68,3,7,13,1997,7,24,1997
3798,a,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,b,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,e,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,g,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,h,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,i,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,j,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,k,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,l,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,m,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,p,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3798,u,,298,,,Grizzly, WS 97 census,298,,,,,66,4,7,24,1997,7,31,1997
3858,c,,298,,,Grizzly, WS 97 census,298,,,,,62,5,8,31,1997,9,7,1997
3858,d,,298,,,Grizzly, WS 97 census,298,,,,,62,5,8,31,1997,9,7,1997
3858,e,,298,,,Grizzly, WS 97 census,298,,,,,62,5,8,31,1997,9,7,1997
3858,g,,298,,,Grizzly, WS 97 census,298,,,,,62,5,8,31,1997,9,7,1997
3858,h,,298,,,Grizzly, WS 97 census,298,,,,,62,5,8,31,1997,9,7,1997
3858,k,,298,,,Grizzly, WS 97 census,298,,,,,62,5,8,31,1997,9,7,1997
3862,c,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3862,e,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3862,f,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3862,j,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3862,k,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3862,m,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3862,n,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3862,o,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3862,p,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3862,q,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3862,r,,298,,,Grizzly, WS 97 census,298,,,,,66,5,8,31,1997,9,7,1997
3867,b,,298,,,Grizzly, WS 97 census,298,,,,,71,5,8,31,1997,9,7,1997
3867,c,,298,,,Grizzly, WS 97 census,298,,,,,71,5,8,31,1997,9,7,1997
3867,d,,298,,,Grizzly, WS 97 census,298,,,,,71,5,8,31,1997,9,7,1997
3867,e,,298,,,Grizzly, WS 97 census,298,,,,,71,5,8,31,1997,9,7,1997
3867,g,,298,,,Grizzly, WS 97 census,298,,,,,71,5,8,31,1997,9,7,1997
3867,h,,298,,,Grizzly, WS 97 census,298,,,,,71,5,8,31,1997,9,7,1997
3867,i,,298,,,Grizzly, WS 97 census,298,,,,,71,5,8,31,1997,9,7,1997
3867,j,,298,,,Grizzly, WS 97 census,298,,,,,71,5,8,31,1997,9,7,1997
3867,k,,298,,,Grizzly, WS 97 census,298,,,,,71,5,8,31,1997,9,7,1997
3867,l, ,298,,,Grizzly, WS 97 census,298,,,,,71,5,8,31,1997,9,7,1997
3731,l,,300,,,Grizzly, WS 97 census,300,,,,,63,3,7,13,1997,7,24,1997
3731,m,,300,,,Grizzly, WS 97 census,300,,,,F,63,3,7,13,1997,7,24,1997
3731,q,,300,,,Grizzly, WS 97 census,300,,,,,63,3,7,13,1997,7,24,1997
3731,r,,300,,,Grizzly, WS 97 census,300,,,,,63,3,7,13,1997,7,24,1997
3441,a,,306,,,Grizzly, WS 97 census,306,,,,M,18,3,7,14,1997,7,25,1997
3794,a,,309,,,Grizzly, WS 97 census,309,,,,,62,4,7,24,1997,7,31,1997
3794,c,,309,,,Grizzly, WS 97 census,309,,,,,62,4,7,24,1997,7,31,1997
3852,b,,309,,,Grizzly, WS 97 census,309,,,,,56,5,8,1,1997,8,8,1997
3852,g,,309,,,Grizzly, WS 97 census,309,,,,M,56,5,8,1,1997,8,8,1997
3731,k,,310,,,Grizzly, WS 97 census,310,,,,F,63,3,7,13,1997,7,24,1997
3740,b,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3740,c,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3740,d,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3740,e,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3740,h,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3740,k,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3740,l,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3740,m,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3740,o,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3740,p,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3740,r,,310,,,Grizzly, WS 97 census,310,,,,,72,3,7,13,1997,7,24,1997
3859,a,,310,,,Grizzly, WS 97 census,310,,,,,63,5,7,31,1997,8,9,1997
3859,b,,310,,,Grizzly, WS 97 census,310,,,,,63,5,7,31,1997,8,9,1997
3859,c,,310,,,Grizzly, WS 97 census,310,,,,,63,5,7,31,1997,8,9,1997
3859,d,,310,,,Grizzly, WS 97 census,310,,,,,63,5,7,31,1997,8,9,1997
3860,d,,310,,,Grizzly, WS 97 census,310,,,,,64,5,7,31,1997,8,9,1997
3860,e,,310,,,Grizzly, WS 97 census,310,,,,,64,5,7,31,1997,8,9,1997
3731,b,,320,,,Grizzly, WS 97 census,320,,,,M,63,3,7,26,1997,8,2,1997
3731,p,,320,,,Grizzly, WS 97 census,320,,,,,63,3,7,13,1997,7,24,1997
3732,b,,320,,,Grizzly, WS 97 census,320,,,,,64,3,7,13,1997,7,24,1997
3441,b,,326,,,Grizzly, WS 97 census,326,,,,,18,3,7,14,1997,7,25,1997
3441,c,,326,,,Grizzly, WS 97 census,326,,,,,18,3,7,14,1997,7,25,1997
3441,d,,326,,,Grizzly, WS 97 census,326,,,,,18,3,7,14,1997,7,25,1997
3441,e,,326,,,Grizzly, WS 97 census,326,,,,,18,3,7,14,1997,7,25,1997
3442,b,,326,,,Grizzly, WS 97 census,326,,,,F,19,3,7,14,1997,7,25,1997
3442,d,,326,,,Grizzly, WS 97 census,326,,,,,19,3,7,14,1997,7,25,1997
3442,f,,326,,,Grizzly, WS 97 census,326,,,,,19,3,7,14,1997,7,25,1997
3442,g,,326,,,Grizzly, WS 97 census,326,,,,M?,19,3,7,14,1997,7,25,1997
3442,i,,326,,,Grizzly, WS 97 census,326,,,,,19,3,7,14,1997,7,25,1997
3442,r,,326,,,Grizzly, WS 97 census,326,,,,,19,3,7,14,1997,7,25,1997
3747,g,,326,,,Grizzly, WS 97 census,326,,,,Unk,6,4,7,25,1997,8,1,1997
3349,b,,466,,,Grizzly, WS 97 census,466,,,,,59,1,6,26,1997,7,3,1997
3349,c,,466,,,Grizzly, WS 97 census,466,,,,,59,1,6,26,1997,7,3,1997
3349,e,,466,,,Grizzly, WS 97 census,466,,,,,59,1,6,26,1997,7,3,1997
3349,f,,466,,,Grizzly, WS 97 census,466,,,,,59,1,6,26,1997,7,3,1997
3349,i,,466,,,Grizzly, WS 97 census,466,,,,,59,1,6,26,1997,7,3,1997
3349,j,,466,14,14,Grizzly, WS 97 census,466,,????,????,F,59,1,6,26,1997,7,3,1997
3727,e,,466,,,Grizzly, WS 97 census,466,,,,,59,3,7,13,1997,7,24,1997
3727,g,,466,,,Grizzly, WS 97 census,466,,,,,59,3,7,13,1997,7,24,1997
3730,b,,466,,,Grizzly, WS 97 census,466,,,,,62,3,7,13,1997,7,24,1997
3730,c,,466,,,Grizzly, WS 97 census,466,,,,,62,3,7,13,1997,7,24,1997
3730,d,,466,,,Grizzly, WS 97 census,466,,,,,62,3,7,13,1997,7,24,1997
3730,e,,466,,,Grizzly, WS 97 census,466,,,,,62,3,7,13,1997,7,24,1997
3730,i,,466,,,Grizzly, WS 97 census,466,,,,,62,3,7,13,1997,7,24,1997
3852,f,,466,,,Grizzly, WS 97 census,466,,,,,56,5,8,1,1997,8,8,1997
3368,a,,467,1,1,Grizzly, WS 97 census,467,,North,East,F,5,1,6,28,1997,7,4,1997
3306,b,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3306,c,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3306,d,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3306,e,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3306,g,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3306,h,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3306,i,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3306,j,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3306,k,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3306,l,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3306,m,,468,,,Grizzly, WS 97 census,468,,,,,10,1,6,26,1997,7,3,1997
3370,a,,468,16,16,Grizzly, WS 97 census,468,,North,East,M,10,2,7,3,1997,7,13,1997
3370,b,,468,,,Grizzly, WS 97 census,468,,,,,10,2,7,3,1997,7,13,1997
3370,c,,468,,,Grizzly, WS 97 census,468,,,,,10,2,7,3,1997,7,13,1997
3370,f,,468,,,Grizzly, WS 97 census,468,,,,,10,2,7,3,1997,7,13,1997
3370,g,,468,,,Grizzly, WS 97 census,468,,,,,10,2,7,3,1997,7,13,1997
3384,a,,473,2,2,Grizzly, WS 97 census,473,,North,East,F,26,2,7,4,1997,7,14,1997
3384,b,,473,,,Grizzly, WS 97 census,473,,,,,26,2,7,4,1997,7,14,1997
3314,a,,474,,,Grizzly, WS 97 census,474,,,,,19,1,6,28,1997,7,4,1997
3314,b,,474,,,Grizzly, WS 97 census,474,,,,,19,1,6,28,1997,7,4,1997
3388,a,,474,12,12,Grizzly, WS 97 census,474,,North,East,M,30,2,7,4,1997,7,14,1997
3389,a,,474,,,Grizzly, WS 97 census,474,,,,,31,2,7,4,1997,7,13,1997
3442,l,,474,,,Grizzly, WS 97 census,474,,,,,19,3,7,14,1997,7,25,1997
3442,q,,474,,,Grizzly, WS 97 census,474,,,,,19,3,7,14,1997,7,25,1997
3443,b,,474,,,Grizzly, WS 97 census,474,,,,,20,3,7,14,1997,7,25,1997
3702,c,,474,,,Grizzly, WS 97 census,474,,,,,30,3,7,14,1997,7,25,1997
3702,g,,474,,,Grizzly, WS 97 census,474,,,,,30,3,7,14,1997,7,25,1997
3702,h,,474,,,Grizzly, WS 97 census,474,,,,,30,3,7,14,1997,7,25,1997
3702,k,,474,,,Grizzly, WS 97 census,474,,,,,30,3,7,14,1997,7,25,1997
3702,l,,474,,,Grizzly, WS 97 census,474,,,,,30,3,7,14,1997,7,25,1997
3337,a,,475,,,Grizzly, WS 97 census,475,,,,,44,1,6,26,1997,7,3,1997
3391,a,,475,4,4,Grizzly, WS 97 census,475,,North,East,F,33,2,7,3,1997,7,13,1997
3391,b,,475,,,Grizzly, WS 97 census,475,,,,,33,2,7,3,1997,7,13,1997
3843,a,,475,,,Grizzly, WS 97 census,475,,,,,44,5,7,31,1997,8,9,1997
3400,a,,476,7,7,Grizzly, WS 97 census,476,,North,East,M,43,2,7,3,1997,7,13,1997
3400,b,,476,,,Grizzly, WS 97 census,476,,,,,43,2,7,3,1997,7,13,1997
3400,e,,476,,,Grizzly, WS 97 census,476,,,,,43,2,7,3,1997,7,13,1997
3408,a,,476,,,Grizzly, WS 97 census,476,,,,,51,2,7,3,1997,7,13,1997
3408,b,,476,,,Grizzly, WS 97 census,476,,,,,51,2,7,3,1997,7,13,1997
3408,c,,476,,,Grizzly, WS 97 census,476,,,,,51,2,7,3,1997,7,13,1997
3408,e,,476,,,Grizzly, WS 97 census,476,,,,,51,2,7,3,1997,7,13,1997
3430,e,,479,,,Grizzly, WS 97 census,479,,,,,3,3,7,14,1997,7,26,1997
3430,f,,479,13,13,Grizzly, WS 97 census,479,,North,East,F,3,3,7,14,1997,7,26,1997
3431,e,,479,,,Grizzly, WS 97 census,479,,,,,4,3,7,14,1997,7,26,1997
3431,p,,479,,,Grizzly, WS 97 census,479,,,,,4,3,7,14,1997,7,26,1997
3431,q,,479,,,Grizzly, WS 97 census,479,,,,,4,3,7,14,1997,7,26,1997
3431,u,,479,,,Grizzly, WS 97 census,479,,,,,4,3,7,14,1997,7,26,1997
3431,w,,479,,,Grizzly, WS 97 census,479,,,,,4,3,7,14,1997,7,26,1997
3431,y,,479,,,Grizzly, WS 97 census,479,,,,,4,3,7,14,1997,7,26,1997
